rank,drug,n_lines,pct_of_overlap,resp_mean,resp_std,learnability,learnable,beats_baseline,delta_model_minus_baseline,n_val
1,oligomycin a,165,91.66666666666667,0.6558507880929745,0.2504329048893508,0.22956,True,True,-0.003541,6144
2,sb-743921,175,97.22222222222223,0.49854368384395326,0.21135153993910716,0.20548,True,False,0.000438,6816
3,vincristine,178,98.88888888888889,0.5991165107639318,0.20040789405986367,0.19818,True,True,-0.001532,7121
4,ml210,170,94.44444444444444,0.7286070381893831,0.20706097938987214,0.19556,True,False,0.002402,7015
5,paclitaxel,170,94.44444444444444,0.5621232192305957,0.2035214089655057,0.19221,True,True,-0.000366,6497
6,"1s,3r-rsl-3",173,96.11111111111111,0.5810857569378924,0.1939962450719652,0.18645,True,False,0.001478,7047
7,docetaxel:tanespimycin (2:1 mol/mol),174,96.66666666666667,0.5066011346790983,0.19056466955195317,0.18421,True,True,-0.001044,7121
8,methotrexate,170,94.44444444444444,0.630190454861697,0.19176298334160152,0.18111,True,True,-0.000301,6710
9,leptomycin b,176,97.77777777777777,0.3406604172196239,0.1780482268930732,0.17409,True,True,-0.000987,7121
10,selumetinib:tretinoin (2:1 mol/mol),172,95.55555555555556,0.765686503936385,0.18173341166817839,0.17366,True,True,-0.001495,7121
11,gemcitabine,154,85.55555555555556,0.7145831843281721,0.20181427671367305,0.17266,True,True,-0.0017,5751
12,navitoclax:gemcitabine (1:1 mol/mol),169,93.88888888888889,0.6563817035164353,0.18218354736331416,0.17105,True,True,-0.000541,6816
13,snx-2112,179,99.44444444444444,0.7206570491943946,0.16930702002752568,0.16837,True,True,-0.000743,7121
14,ouabain,175,97.22222222222223,0.43844190363373076,0.17315847956734856,0.16835,True,True,-0.000797,6816
15,austocystin d,157,87.22222222222223,0.7377150292229501,0.191352168682771,0.1669,True,True,-0.000326,6170
16,brd-k97651142,170,94.44444444444444,0.7510692182709189,0.1750730168898475,0.16535,True,True,-0.000857,6850
17,daporinad,163,90.55555555555556,0.8086713786505483,0.18111084159756588,0.16401,True,True,-0.000286,7006
18,gsk461364,165,91.66666666666667,0.567438546906818,0.17801488149601474,0.16318,True,True,-0.001144,6522
19,bi-2536,177,98.33333333333333,0.5617234083050389,0.16579856361873882,0.16304,True,True,-0.000425,7121
20,kx2-391,175,97.22222222222223,0.6634092424597059,0.16750713869648726,0.16285,True,True,-0.000471,7121
21,clofarabine,176,97.77777777777777,0.7883342641659759,0.1643558673850248,0.1607,True,True,-0.000294,7121
22,parbendazole,176,97.77777777777777,0.7408820629458536,0.16316735935262713,0.15954,True,True,-0.001039,7121
23,pd318088,178,98.88888888888889,0.8100301939784811,0.1607721856398418,0.15899,True,True,-0.000575,7121
24,triazolothiadiazine,177,98.33333333333333,0.7399936451413537,0.16153046889031775,0.15884,True,True,-9e-06,7121
25,dasatinib,177,98.33333333333333,0.6631876118691628,0.15935779096405245,0.1567,True,True,-0.000848,7121
26,rigosertib,172,95.55555555555556,0.6831882303190786,0.16368955101456908,0.15641,True,True,-0.001078,7121
27,ml162,176,97.77777777777777,0.6663377767598088,0.1599476437523327,0.15639,True,False,0.000933,7121
28,tanespimycin:gemcitabine (1:1 mol/mol),173,96.11111111111111,0.7200232604680034,0.16183024490393755,0.15554,True,True,-0.000733,7121
29,cr-1-31b,173,96.11111111111111,0.49520407892720547,0.15962899199352032,0.15342,True,True,-0.001102,6251
30,selumetinib,175,97.22222222222223,0.7803290222372328,0.15665798811648474,0.15231,True,False,0.00022,6497
