rep,model,params,spearman,pred_std,train_mse,val_mse
X_pca,"MLP (128,64) [current]",74629,0.4280826218833257,0.5305241863255539,0.3610332546065001,0.8886944246077112
X_pca,"MLP (64,32)",35269,0.4329494238067827,0.5052920840297516,0.5362652484707888,0.8582565329299806
X_pca,"MLP (32,)",16645,0.414240463625837,0.4615063304198859,0.411842022087947,0.8515834744036427
X_pca,linear head,2565,0.4121416101689669,0.4320614939863612,0.2469308801705335,0.8724599247646143
X_scGPT,"MLP (128,64) [current]",74629,0.4871261884979758,0.4777340209913849,0.6145900472503538,0.7477251164654923
X_scGPT,"MLP (64,32)",35269,0.4788079894837575,0.4593890615295192,0.6205524463640743,0.737710209909712
X_scGPT,"MLP (32,)",16645,0.485818703119871,0.4298692953713288,0.5987932816423887,0.7466693917149555
X_scGPT,linear head,2565,0.4383708812935823,0.2564766341852103,0.7239957946606758,0.8142125467225722
X_pca,ridge (line-level),2560,0.4283382657625018,,,
X_scGPT,ridge (line-level),2560,0.42774399681713177,,,
