rep,setting,spearman,pearson,pred_std,train_mse,val_mse,params
X_pca,batch=32,0.35063939677875344,0.343143266624754,0.5202943886858871,0.315950223034975,0.991231504878385,74954
X_pca,batch=128 [current],0.35965171336396085,0.35002505798458944,0.49377352977283345,0.5001428755101165,0.9682427318174888,74954
X_pca,batch=512,0.3727676531505364,0.37352395731422383,0.44528428714065527,0.7426124759854885,0.9006579652181352,74954
X_pca,line_balanced,0.36610694583186726,0.3555413760238737,0.5198082120287283,0.4204020527324923,0.977947830730226,74954
X_pca,focus_extremes,0.3423349995006556,0.34132405579612046,0.5020593820480381,0.5201722347811361,0.9910062332866127,74954
X_scGPT,batch=32,0.4129959557771863,0.41077617430554547,0.4087450344886374,0.673889082196659,0.8229588792060071,74954
X_scGPT,batch=128 [current],0.4035448135515335,0.4065442825724319,0.3856929445159513,0.7294270973904129,0.8240959478433629,74954
X_scGPT,batch=512,0.38148262506292036,0.3841430229794196,0.386149225293848,0.7709472031129412,0.8369700589991718,74954
X_scGPT,line_balanced,0.3943871005203029,0.39923355946635997,0.42111966716428445,0.8119692323184935,0.8271385060024977,74954
X_scGPT,focus_extremes,0.387168945774582,0.3960005706965736,0.45800182118307536,0.7549477022942741,0.8398452099679947,74954
