heads,rep,drug,n_lines,rho_raw,rho_normalized,rho_naive_baseline
oof:panel_oof_predictions.csv,X_pca,methotrexate,147,0.3139278667840473,0.2649547786534088,0.30374833182388544
oof:panel_oof_predictions.csv,X_pca,dasatinib,151,0.5331090972464272,0.5511327988846287,0.2973196235622168
oof:panel_oof_predictions.csv,X_pca,paclitaxel,145,0.3874664790359406,0.3647693276649346,0.6042680496650936
oof:panel_oof_predictions.csv,X_pca,vincristine,153,0.36212523286826687,0.310703228659885,0.6095921622237411
oof:panel_oof_predictions.csv,X_pca,afatinib,140,0.1883101050821194,0.2399291509042007,0.46752800893077395
oof:panel_oof_predictions.csv,X_pca,topotecan,149,0.2679831924390658,0.21345546889171052,0.574410098322473
oof:panel_oof_predictions.csv,X_pca,tanespimycin,148,0.2257640595863486,0.21102625704735006,0.5678658157411491
oof:panel_oof_predictions.csv,X_pca,selumetinib,150,0.24131383617049648,0.2744424196630962,0.5070038668385262
oof:panel_oof_predictions.csv,X_scGPT,methotrexate,147,0.3411759261272159,0.2740406047646752,0.30374833182388544
oof:panel_oof_predictions.csv,X_scGPT,dasatinib,151,0.5459393516904844,0.557615894039735,0.2973196235622168
oof:panel_oof_predictions.csv,X_scGPT,paclitaxel,145,0.47202444509529196,0.3652810581010864,0.6042680496650936
oof:panel_oof_predictions.csv,X_scGPT,vincristine,153,0.40723801482315414,0.2801086941953815,0.6095921622237411
oof:panel_oof_predictions.csv,X_scGPT,afatinib,140,0.3253551478814434,0.3681047866873675,0.46752800893077395
oof:panel_oof_predictions.csv,X_scGPT,topotecan,149,0.2955925046187544,0.19157990204970074,0.574410098322473
oof:panel_oof_predictions.csv,X_scGPT,tanespimycin,148,0.32402197411896133,0.2393822393822394,0.5678658157411491
oof:panel_oof_predictions.csv,X_scGPT,selumetinib,150,0.30080448019912,0.3532654784657096,0.5070038668385262
