rep,drug,n_lines,spearman,pearson,pred_std
X_pca,daporinad,141,0.158007789297352,0.18134895148464397,0.42277218838404584
X_pca,ml210,146,0.6139512016426788,0.5942616394759076,0.6126893189536091
X_pca,gsk461364,144,0.3576440800578732,0.34211198102499835,0.4629579025373497
X_pca,oligomycin a,141,0.2962125785059829,0.3036042097552686,0.42238233138465975
X_pca,kx2-391,149,0.11641211681480139,0.10494322837595027,0.4249084296047997
X_pca,methotrexate,147,0.2864946906425681,0.28108899605006765,0.42287030771484063
X_pca,rigosertib,146,0.2593562318644983,0.2368875998503487,0.4343346631692143
X_pca,snx-2112,153,0.38219474704951034,0.3771135568979901,0.5069934570765916
X_pca,dasatinib,151,0.5414883234576506,0.5477673795216733,0.6398112623240587
X_pca,ml162,152,0.6075378176604518,0.6057543837693512,0.6091283646743196
X_scGPT,daporinad,141,0.1424548808328236,0.1278148446090872,0.23674745329365912
X_scGPT,ml210,146,0.627127336527431,0.6126466219924078,0.5589293687846043
X_scGPT,gsk461364,144,0.49919218712322155,0.5185648191391174,0.39352102976327036
X_scGPT,oligomycin a,141,0.22604232220046253,0.23062031787010828,0.366159203650301
X_scGPT,kx2-391,149,0.2887465989479412,0.322313859026345,0.32335198335855475
X_scGPT,methotrexate,147,0.31908846977368593,0.311341813012852,0.34620171381386977
X_scGPT,rigosertib,146,0.32722662990562307,0.35894006471093,0.28157786194717543
X_scGPT,snx-2112,153,0.38116945397400476,0.36656407961784243,0.34583935128173193
X_scGPT,dasatinib,151,0.5257058208434995,0.5561410196050731,0.49299558822730666
X_scGPT,ml162,152,0.6273353318225929,0.6216155220930543,0.5560093732077149
