drug,n_lines,spearman,pearson,pred_std,score,heads,rep,seed
daporinad,141,0.23567361616507554,0.2252405458249725,0.043448869756352884,mean_pv,K=10,X_pca,42
ml210,146,0.5965488320977896,0.5921350689920645,0.0893370191644065,mean_pv,K=10,X_pca,42
gsk461364,144,0.3966883691021622,0.43244130366424754,0.05342139585003888,mean_pv,K=10,X_pca,42
oligomycin a,141,0.23195342266364136,0.25540101912001967,0.0753138979266761,mean_pv,K=10,X_pca,42
kx2-391,149,0.22282241973517145,0.24463625964860217,0.049863935832668016,mean_pv,K=10,X_pca,42
methotrexate,147,0.33630401438620616,0.32907721520921834,0.05852111401935214,mean_pv,K=10,X_pca,42
rigosertib,146,0.3549863592106659,0.3692483655037241,0.05140924867193561,mean_pv,K=10,X_pca,42
snx-2112,153,0.2755319745990059,0.24699061879288103,0.049229408676665955,mean_pv,K=10,X_pca,42
dasatinib,151,0.4924677588009759,0.5141775228308099,0.059645644688639005,mean_pv,K=10,X_pca,42
ml162,152,0.5566365270402339,0.5426015358288553,0.06980974454236205,mean_pv,K=10,X_pca,42
daporinad,141,0.21404597799563335,0.18497884746598245,0.04633440232963796,mean_pv,K=10,X_scGPT,42
ml210,146,0.6216864450078567,0.613337619355301,0.1012947112860074,mean_pv,K=10,X_scGPT,42
gsk461364,144,0.42827345068724376,0.46927935273455984,0.04967920756074755,mean_pv,K=10,X_scGPT,42
oligomycin a,141,0.24768611670020116,0.23763313687028623,0.08335355589895312,mean_pv,K=10,X_scGPT,42
kx2-391,149,0.3355269363323055,0.3514528697968622,0.04463116646607078,mean_pv,K=10,X_scGPT,42
methotrexate,147,0.3329492478220462,0.3620789159167963,0.062466280619378936,mean_pv,K=10,X_scGPT,42
rigosertib,146,0.37047998226215384,0.4120797601841112,0.04317802068018221,mean_pv,K=10,X_scGPT,42
snx-2112,153,0.3042049510516586,0.2625780850274663,0.04473447176988605,mean_pv,K=10,X_scGPT,42
dasatinib,151,0.4919205298013245,0.5142132637929638,0.060683706246982536,mean_pv,K=10,X_scGPT,42
ml162,152,0.6118856744510281,0.5875583904624129,0.07738406942594586,mean_pv,K=10,X_scGPT,42
daporinad,141,-0.08428014897898026,-0.11026521851622668,0.019640565102358176,mean_pv,K=545,X_pca,42
ml210,146,0.09693925751689435,0.07830741251284207,0.014639430700307082,mean_pv,K=545,X_pca,42
gsk461364,144,0.2412788361064223,0.28574038152289283,0.01652713230268261,mean_pv,K=545,X_pca,42
oligomycin a,141,-0.14170555246371846,-0.08552181949626741,0.0261716671193614,mean_pv,K=545,X_pca,42
kx2-391,149,0.1565572283693089,0.19105708705882787,0.016413799664037488,mean_pv,K=545,X_pca,42
methotrexate,147,-0.0030109785491390186,0.019602316847636615,0.013442064265794546,mean_pv,K=545,X_pca,42
rigosertib,146,0.31164817367665065,0.3332587298319203,0.013202576173863832,mean_pv,K=545,X_pca,42
snx-2112,153,0.14042135789123267,0.12059190257263407,0.018106748115225477,mean_pv,K=545,X_pca,42
dasatinib,151,-0.02844196584175671,-0.0018921369839489431,0.015022579766657357,mean_pv,K=545,X_pca,42
ml162,152,0.04093453345088471,0.038468391033501796,0.011986197717514942,mean_pv,K=545,X_pca,42
daporinad,141,-0.1636628280320219,-0.1528214791011754,0.016136050021201637,mean_pv,K=545,X_scGPT,42
ml210,146,0.019930012628575286,0.017385568575235932,0.010057915938808748,mean_pv,K=545,X_scGPT,42
gsk461364,144,-0.0005666747046057392,-0.0065178745477727385,0.011083104070035281,mean_pv,K=545,X_scGPT,42
oligomycin a,141,-0.19541504345220256,-0.17054936076862914,0.017720912747113356,mean_pv,K=545,X_scGPT,42
kx2-391,149,-0.12872120442590243,-0.11843481513560923,0.015349875515882822,mean_pv,K=545,X_scGPT,42
methotrexate,147,-0.08139464597390234,-0.08007242872390118,0.0060366869388634664,mean_pv,K=545,X_scGPT,42
