score,heads,rep,mean,ci_lo,ci_hi,drug_min,drug_max
auc,K=10,X_pca,0.36005273533423454,0.2605972432344539,0.4541100625031535,0.10305279786385739,0.5831407602063038
auc,K=10,X_scGPT,0.40453519485352973,0.3165869318176884,0.49559137734372016,0.22806651404879924,0.6333957256029601
auc,K=545,X_pca,-0.011966106269931085,-0.07494288041012781,0.053333908769828936,-0.11796788376273074,0.16426980806493596
auc,K=545,X_scGPT,-0.06873958233897873,-0.11773667069426108,-0.011591107911960533,-0.16304634247937222,0.14150791736998633
auc_z,K=10,X_pca,0.35965171336396085,0.26940082718148994,0.45840068906209425,0.14665336477417015,0.5974570949922346
auc_z,K=10,X_scGPT,0.39640890319512856,0.29842377790633756,0.4949737833091946,0.1424548808328236,0.6273353318225929
auc_z,K=545,X_pca,0.3164770627024088,0.21949460543182414,0.41015462750931825,0.03647420317032266,0.5208025963842862
auc_z,K=545,X_scGPT,0.3283528083626032,0.24303015818444504,0.4154352751526586,0.13158539704767697,0.5180010218541834
mean_pv,K=10,X_pca,0.3699613293800928,0.2925695940431437,0.45876931913732594,0.22282241973517145,0.5965488320977896
mean_pv,K=10,X_scGPT,0.3958659312111452,0.3173410088748648,0.4844109549246734,0.21404597799563335,0.6216864450078567
mean_pv,K=545,X_pca,0.07303407411777992,-0.010129482417781265,0.157970696100327,-0.14170555246371846,0.31164817367665065
mean_pv,K=545,X_scGPT,-0.07848955071567701,-0.12143556033228793,-0.03775507420824637,-0.19541504345220256,0.019930012628575286
