score,heads,rep,spearman,pearson,pred_std,train_mse,val_mse,params
mean_pv,K=10,X_pca,0.3699613293800928,0.3751949455415395,0.060000027912909704,0.06637510278263056,0.03001798545724086,74954
mean_pv,K=10,X_scGPT,0.3958659312111452,0.3995190241606742,0.06137395922837924,0.02858369179110748,0.02891411094946878,74954
mean_pv,K=545,X_pca,0.07303407411777992,0.08693470463838124,0.01651527609278029,0.023215836017395346,0.010551668636668631,109729
mean_pv,K=545,X_scGPT,-0.07848955071567701,-0.06861053061239283,0.0107122410834746,0.023665106492426518,0.010712436879170817,109729
auc,K=10,X_pca,0.36005273533423454,0.3583082426054284,0.06216343884929422,0.08148079023402378,0.03382577929728693,74954
auc,K=10,X_scGPT,0.40453519485352973,0.39913956721613436,0.06509976749687145,0.02969996659903614,0.03141830622644144,74954
auc,K=545,X_pca,-0.011966106269931085,-0.019300744118400256,0.01871521672384057,0.027909083486855314,0.016225828273248366,109729
auc,K=545,X_scGPT,-0.06873958233897873,-0.08159392059883433,0.011783534207267111,0.027794917812672272,0.016138738358065462,109729
auc_z,K=10,X_pca,0.35965171336396085,0.35002505798458944,0.49377352977283345,0.5001428755101165,0.9682427318174888,74954
auc_z,K=10,X_scGPT,0.39640890319512856,0.40265629616768167,0.3901332927328188,0.7267162360599044,0.8248397938639759,74954
auc_z,K=545,X_pca,0.3164770627024088,0.30783171180771945,0.337557765605712,0.7588357900691471,1.03429947839892,109729
auc_z,K=545,X_scGPT,0.3283528083626032,0.32840010890185856,0.31472228515746703,0.7606776697450224,0.9632022654114156,109729
