fold,rep,n_train_lines,n_fit_lines,n_stop_lines,n_val_lines,best_val_mse,train_mse_at_best,gap,n_beats,n_total,mean_delta,median_delta,frac_beat,model_mean_mse,baseline_mean_mse,task
1,X_pca,124,105,19,29,0.009357630404895737,0.010509326378604177,-0.0011516959737084397,306,534,-0.0002672609522221577,-7.675396408554224e-05,0.5730337078651685,0.012537152660718398,0.012804413612940557,all_drugs
2,X_pca,122,103,19,31,0.009836647979185055,0.008831327793909752,0.0010053201852753026,274,534,-0.00036982473831256965,-1.545107058329722e-05,0.5131086142322098,0.009002451682688426,0.009372276421000997,all_drugs
3,X_pca,122,103,19,31,0.008951794477077588,0.009059224981651319,-0.00010743050457373039,318,534,-0.0006011062652166265,-0.0001580965070330175,0.5955056179775281,0.01006205351631995,0.010663159781536577,all_drugs
4,X_pca,122,103,19,31,0.011140000774335204,0.0054891161404067084,0.005650884633928496,262,534,-0.00043905142207718097,2.9063485190528558e-05,0.49063670411985016,0.009151257172674902,0.009590308594752081,all_drugs
5,X_pca,122,103,19,31,0.01250581969062219,0.006560960367689706,0.005944859322932483,249,534,-0.00023657316964241862,4.8004277427613146e-05,0.46629213483146065,0.010029992781755521,0.01026656595139794,all_drugs
1,X_pca,124,105,19,29,0.029242476589277016,0.03378918975661642,-0.004546713167339404,1,1,-0.0016378061082410258,-0.0016378061082410258,1.0,0.05259637090110148,0.05423417700934251,paclitaxel
2,X_pca,122,103,19,31,0.038499036956803574,0.03330765980622369,0.005191377150579886,0,1,0.005637303485251828,0.005637303485251828,0.0,0.05955050694970028,0.05391320346444845,paclitaxel
3,X_pca,122,103,19,31,0.03844245391574665,0.03606358003102837,0.0023788738847182744,1,1,-0.003379968977738651,-0.003379968977738651,1.0,0.03272346540066506,0.03610343437840371,paclitaxel
4,X_pca,122,103,19,31,0.054738880607212576,0.03426753285334782,0.020471347753864756,1,1,-0.00456790029174859,-0.00456790029174859,1.0,0.0324471243957263,0.03701502468747489,paclitaxel
5,X_pca,122,103,19,31,0.039967486713058505,0.005187169172791055,0.03478031754026745,0,1,0.0009630019902509973,0.0009630019902509973,0.0,0.03693157950562349,0.03596857751537249,paclitaxel
1,X_scGPT,124,105,19,29,0.008960991122867345,0.0065019643598255945,0.00245902676304175,266,534,-0.0003140691867851102,1.0127591667182662e-05,0.49812734082397003,0.012490344426155446,0.012804413612940557,all_drugs
2,X_scGPT,122,103,19,31,0.009736634229893189,0.008542342726751096,0.0011942915031420923,293,534,-0.0006292551149129544,-4.62956090660114e-05,0.548689138576779,0.008743021306088042,0.009372276421000997,all_drugs
3,X_scGPT,122,103,19,31,0.009096553810475602,0.010250398215312703,-0.0011538444048371007,261,534,-2.8511203107660968e-05,9.858449315113503e-06,0.4887640449438202,0.010634648578428914,0.010663159781536577,all_drugs
4,X_scGPT,122,103,19,31,0.010879710590377848,0.0071965756904194015,0.0036831348999584465,333,534,-0.0007178039907250041,-0.00014863337325120816,0.6235955056179775,0.008872504604027078,0.009590308594752081,all_drugs
5,X_scGPT,122,103,19,31,0.012503331547444816,0.0068458827079826146,0.005657448839462202,279,534,-0.00038363726722453583,-1.7835366435428124e-05,0.5224719101123596,0.009882928684173403,0.01026656595139794,all_drugs
1,X_scGPT,124,105,19,29,0.024511737804037596,0.03259957292391337,-0.008087835119875774,1,1,-0.0013371892281698605,-0.0013371892281698605,1.0,0.05289698778117265,0.05423417700934251,paclitaxel
2,X_scGPT,122,103,19,31,0.033068107382730846,0.04769669612106696,-0.014628588738336112,0,1,0.0029428709004426304,0.0029428709004426304,0.0,0.05685607436489108,0.05391320346444845,paclitaxel
3,X_scGPT,122,103,19,31,0.04911099767188081,0.022429476616600785,0.026681521055280027,1,1,-0.00039134455193404194,-0.00039134455193404194,1.0,0.035712089826469666,0.03610343437840371,paclitaxel
4,X_scGPT,122,103,19,31,0.04783329298714306,0.04724288676057728,0.0005904062265657817,1,1,-0.003094498985532053,-0.003094498985532053,1.0,0.03392052570194284,0.03701502468747489,paclitaxel
5,X_scGPT,122,103,19,31,0.05456612172648353,0.024475545235132824,0.030090576491350704,1,1,-0.002531667125786466,-0.002531667125786466,1.0,0.03343691038958602,0.03596857751537249,paclitaxel
