variant,n_hvg,rep,heads_beat_mean,heads_beat_std,delta_mean,delta_std,val_mse_mean,n_total
hvg1000,1000,X_pca,207.0,75.0013333214817,0.0005781575892151652,0.0004037540647601431,0.010575321475817568,545
hvg1000,1000,X_scGPT,192.8,83.35802300918611,0.0006025305600516541,0.00042124756364618965,0.010600657414866188,545
hvg2000,2000,X_pca,203.0,78.45253341989665,0.000617634481098617,0.0004423848333021774,0.010586855708532487,545
hvg2000,2000,X_scGPT,184.8,84.03665866751248,0.0006387428025212086,0.0004210763832427915,0.010631889964260347,545
hvg3000,3000,X_pca,216.2,84.60590995905665,0.0005292675652166419,0.00041191010049600733,0.010521106044417888,545
hvg3000,3000,X_scGPT,189.6,83.15912457451677,0.0006262730399475707,0.0004172757894788712,0.010618721892708703,545
hvg5000,5000,X_pca,210.4,72.83570552963704,0.000545986341280174,0.0003830001812279393,0.010540031570956987,545
hvg5000,5000,X_scGPT,189.2,94.03276024875586,0.0007388787808901828,0.0004714884730151795,0.010680982093939756,545
all_genes,22722,X_pca,204.0,85.69947491087679,0.0005833545169969371,0.00043004164899952305,0.010570893093946614,545
all_genes,22722,X_scGPT,184.0,89.59687494550242,0.0006854264124668896,0.0004542232262626943,0.01066071447723214,545
