drug,n_lines,spearman,pearson,true_std
snx-2112,27,0.14163614163614163,0.12822654472745132,0.16239053861911004
gdc-0879,27,-0.40415140415140416,-0.37149867846134466,0.09051730701766318
decitabine,27,-0.30097680097680096,-0.2882549566866457,0.09648318400135746
lenvatinib,27,-0.06715506715506715,-0.09457281525336633,0.10524849965283428
ml311,27,-0.06593406593406594,0.11168941922920397,0.05190938706623653
tgx-221,27,-0.3363858363858364,-0.38508262835871154,0.09445663596140082
nsc632839,26,-0.09333333333333332,-0.14181151805295822,0.09884878136716958
chembl4788167,27,-0.20024420024420023,-0.04794430495277589,0.11897622436190505
gefitinib,27,-0.2936507936507936,-0.2449149636976694,0.10778313167867813
pha-793887,27,-0.34676434676434675,-0.12860377168535758,0.12618218840094184
linsitinib,27,-0.3266178266178266,-0.21229728713423585,0.06675505670864444
pd318088,27,-0.10500610500610501,-0.12765332806447496,0.18664178717916946
rapamycin,27,0.12698412698412695,0.24117792112337982,0.11828051194918898
pazopanib,27,0.10317460317460315,0.004826604044915061,0.12305826558313616
curcumin,27,-0.10134310134310134,-0.2819314473458982,0.07060810648457705
cucurbitacin i,27,-0.28205128205128205,-0.26670308393711595,0.162901809344123
osi-027,27,-0.07203907203907202,-0.03643485216648988,0.1067959553874025
brd1240,27,-0.6068376068376069,-0.5819634367536715,0.08461873691588648
vincristine,27,-0.19597069597069594,-0.0667554895285555,0.2318107769753125
bi-2536,27,-0.1172161172161172,0.08116058961791994,0.1832642714540269
l-685458,27,-0.22344322344322343,-0.23992594476871842,0.05126477384871253
nsc30930,27,0.0,-0.03487774420888595,0.05042860345029807
dasatinib,27,0.0036630036630036626,0.10715543609407172,0.18826196130406347
brd-k17060750,27,-0.09035409035409035,-0.02544759992073732,0.05274327259841662
ml239,27,-0.46764346764346765,-0.510485698822723,0.06226310198921977
cytochalasin b,27,-0.42124542124542125,-0.4589178471431259,0.05327410992775183
fqi-2,27,-0.31807081807081805,-0.14404489421204691,0.11220721601774247
