drug,n_lines,spearman,pearson,true_std
snx-2112,27,0.28266178266178266,0.25350921705898544,0.16239053861911004
gdc-0879,27,0.24053724053724052,0.3709127637284546,0.09051730701766318
decitabine,27,0.01465201465201465,0.042824765559346334,0.09648318400135746
lenvatinib,27,-0.051892551892551896,-0.042948084642068785,0.10524849965283428
ml311,27,0.1581196581196581,0.22614675631156173,0.05190938706623653
tgx-221,27,0.2802197802197802,0.11017321269143807,0.09445663596140082
nsc632839,26,-0.14393162393162393,-0.12013189302908861,0.09884878136716958
chembl4788167,27,0.20085470085470084,0.29865119838852255,0.11897622436190505
gefitinib,27,0.15323565323565325,0.34542484929632894,0.10778313167867813
pha-793887,27,0.02564102564102564,0.015853095938872797,0.12618218840094184
linsitinib,27,0.0927960927960928,0.044482828147080294,0.06675505670864444
pd318088,27,0.45848595848595847,0.5703088349254961,0.18664178717916946
rapamycin,27,0.22039072039072038,0.2305614636152728,0.11828051194918898
pazopanib,27,-0.10622710622710621,-0.024119350330398876,0.12305826558313616
curcumin,27,0.3412698412698412,0.3337973177379552,0.07060810648457705
cucurbitacin i,27,0.08974358974358974,0.10113308832702306,0.162901809344123
osi-027,27,0.20757020757020758,0.09069540974294873,0.1067959553874025
brd1240,27,0.17399267399267399,0.07630559176243429,0.08461873691588648
vincristine,27,0.16056166056166057,0.26009067535636904,0.2318107769753125
bi-2536,27,0.18192918192918192,0.35029266348974814,0.1832642714540269
l-685458,27,0.15567765567765565,0.12232795164470518,0.05126477384871253
nsc30930,27,-0.08485958485958486,-0.11850942030309546,0.05042860345029807
dasatinib,27,0.4255189255189255,0.4783587612209105,0.18826196130406347
brd-k17060750,27,-0.06471306471306472,0.01064151487194297,0.05274327259841662
ml239,27,0.27167277167277165,0.3133650260622607,0.06226310198921977
cytochalasin b,27,0.409035409035409,0.4092175859328839,0.05327410992775183
fqi-2,27,0.15445665445665446,0.16904920765553755,0.11220721601774247
clofarabine,27,0.459096459096459,0.45549897717474874,0.14770863242619356
sch-79797,27,0.006105006105006104,0.045416298042118455,0.09594015274482032
plx-4720,27,-0.199023199023199,0.09420967568310426,0.08024586694822214
