drug,n_val,pca_val_mse,scgpt_val_mse,baseline_val_mse,scgpt_minus_pca
snx-2112,7121,0.025988450273871422,0.027039438486099243,0.026886360372552688,0.0010509882122278214
decitabine,6827,0.004807475488632917,0.005643488373607397,0.00469235542966431,0.0008360128849744797
brd-k63431240,7121,0.010453625582158566,0.010256914421916008,0.01045886136996458,-0.00019671116024255753
pha-793887,7121,0.01581214740872383,0.015466060489416122,0.015692347516323275,-0.00034608691930770874
pd318088,7121,0.030087923631072044,0.03002009354531765,0.031125179642690855,-6.783008575439453e-05
pazopanib,6816,0.015530604869127274,0.015356050804257393,0.015472181683702358,-0.00017455406486988068
ceranib-2,7121,0.010122054256498814,0.010024551302194595,0.0098341958095001,-9.750295430421829e-05
vincristine,7121,0.04536447301506996,0.04564887285232544,0.04491300740500461,0.0002843998372554779
osi-027,6816,0.0074527631513774395,0.008666619658470154,0.007619359588607792,0.0012138565070927143
nsc632839,6783,0.00999969057738781,0.011168243363499641,0.009653120493133513,0.0011685527861118317
curcumin,7121,0.0036696798633784056,0.0037035748828202486,0.003600817575978531,3.389501944184303e-05
sb-225002,7121,0.010913402773439884,0.011075048707425594,0.011147239794610568,0.00016164593398571014
ml311,7121,0.005347562953829765,0.005622695665806532,0.005434004582932344,0.0002751327119767666
c6-ceramide,7121,0.004896563943475485,0.0047883279621601105,0.005004382918673307,-0.00010823598131537437
b02,7121,0.011947672814130783,0.011630193330347538,0.011679467047410536,-0.0003174794837832451
cytochalasin b,7121,0.00479777529835701,0.004784737713634968,0.004497126001603323,-1.3037584722042084e-05
sirolimus,7121,0.01262708380818367,0.013107351027429104,0.01267947582914654,0.0004802672192454338
pyrazolanthrone,7121,0.0040487851947546005,0.004567068535834551,0.00398514010903185,0.0005182833410799503
bi-2536,7121,0.029368547722697258,0.02931739017367363,0.02905393716560411,-5.1157549023628235e-05
brd-k41597374,6783,0.0024878354743123055,0.0027649083640426397,0.0021493325219857236,0.0002770728897303343
triptolide,7121,0.007686678320169449,0.007346834987401962,0.0074306935999294416,-0.00033984333276748657
neratinib,7121,0.015415864065289497,0.016258414834737778,0.015414457266595873,0.0008425507694482803
triazolothiadiazine,7121,0.023100774735212326,0.023289913311600685,0.022436440490186702,0.00018913857638835907
mgcd-265,7121,0.004125490318983793,0.004285904578864574,0.003851323352344591,0.00016041425988078117
apicidin,7121,0.008420336991548538,0.008295861072838306,0.00817497733063413,-0.00012447591871023178
veliparib,7121,0.003518934128805995,0.004167770501226187,0.0027856422439887095,0.0006488363724201918
gdc-0941,7121,0.020064473152160645,0.01930704154074192,0.019663740251199907,-0.0007574316114187241
dasatinib,7121,0.030343998223543167,0.03032092936336994,0.029713821909297597,-2.3068860173225403e-05
lenvatinib,7121,0.009816858917474747,0.010101725347340107,0.009849337189728748,0.00028486642986536026
l-685458,7121,0.00481852563098073,0.004692406393587589,0.00439408798716164,-0.0001261192373931408
yk 4-279,7121,0.005437938030809164,0.0055555310100317,0.005625036646969315,0.00011759297922253609
ic-87114,6816,0.003395210485905409,0.0033419174142181873,0.0033406508363949716,-5.329307168722153e-05
linifanib,7121,0.005274488124996424,0.005008183419704437,0.004925886909122426,-0.00026630470529198647
sirolimus:bortezomib (250:1 mol/mol),6783,0.010603992268443108,0.011235508136451244,0.01049860873316001,0.0006315158680081367
leptomycin b,7121,0.023077215999364853,0.023140255361795425,0.02312139264673535,6.303936243057251e-05
brd-k04800985,7121,0.002017672872170806,0.002050983952358365,0.0016268583358286393,3.331108018755913e-05
brd-k07442505,7121,0.0033971674274653196,0.0036316150799393654,0.002874352356058532,0.00023444765247404575
linsitinib,7121,0.005598843097686768,0.005677994340658188,0.00561145975936677,7.915124297142029e-05
clofarabine,7121,0.023958655074238777,0.024970877915620804,0.02253573772678542,0.0010122228413820267
ml162,7121,0.02661135047674179,0.02669564262032509,0.02671133543170167,8.429214358329773e-05
sch-79797,7121,0.010360750369727612,0.010876486077904701,0.010188836307002647,0.0005157357081770897
ml239,7121,0.0047645652666687965,0.0048337168991565704,0.0045602523303414225,6.91516324877739e-05
quizartinib,7121,0.007046127691864967,0.006959228776395321,0.006510377558602226,-8.689891546964645e-05
cct036477,7121,0.006615223828703165,0.00626108143478632,0.005903833656998813,-0.0003541423939168453
carboplatin:etoposide (40:17 mol/mol),7121,0.00456251809373498,0.005665035918354988,0.004584287810519386,0.0011025178246200085
necrostatin-7,6924,0.003822636790573597,0.0036258341278880835,0.0033075836802472108,-0.0001968026626855135
pf-573228,7121,0.006387882400304079,0.006614396348595619,0.0061343574578683335,0.00022651394829154015
parbendazole,7121,0.03194784000515938,0.03162486478686333,0.03178960626329841,-0.000322975218296051
gsk4112,7121,0.0033552763052284718,0.003145011840388179,0.0031828003129070626,-0.00021026446484029293
nsc48300,7121,0.005642659030854702,0.006342877168208361,0.005185746988662588,0.0007002181373536587
plx-4720,7121,0.007752979639917612,0.007794792763888836,0.0075980014224461085,4.181312397122383e-05
nvp-231,7121,0.005261305719614029,0.005505474284291267,0.005375882954326452,0.00024416856467723846
lbh-589,7121,0.014068534597754478,0.014117376878857613,0.014526315036294308,4.8842281103134155e-05
doxorubicin,6924,0.01262836717069149,0.013319901190698147,0.012817131984139031,0.0006915340200066566
zebularine,7121,0.0042543006129562855,0.004411567002534866,0.004008739308118705,0.00015726638957858086
gmx-1778,7121,0.012210749089717865,0.012238753028213978,0.011484302351407986,2.8003938496112823e-05
