score,heads,rep,drug,spearman
auc_z,K=5,X_pca,"1s,3r-rsl-3",0.594065476206916
auc_z,K=5,X_pca,kx2-391,0.09166334119354252
auc_z,K=5,X_pca,cay10618,0.3682136479356203
auc_z,K=5,X_pca,ml162,0.5884869604145837
auc_z,K=5,X_pca,dasatinib,0.5158347856395956
auc_z,K=5,X_scGPT,"1s,3r-rsl-3",0.5907097684654783
auc_z,K=5,X_scGPT,kx2-391,0.2831380373662253
auc_z,K=5,X_scGPT,cay10618,0.34717608124092025
auc_z,K=5,X_scGPT,ml162,0.6546028323415892
auc_z,K=5,X_scGPT,dasatinib,0.5629731613802718
auc_z,K=545,X_pca,"1s,3r-rsl-3",0.45990246680815833
auc_z,K=545,X_pca,kx2-391,0.15295120623979686
auc_z,K=545,X_pca,cay10618,0.28657018553447805
auc_z,K=545,X_pca,ml162,0.5208025963842862
auc_z,K=545,X_pca,dasatinib,0.4701429069362147
auc_z,K=545,X_scGPT,"1s,3r-rsl-3",0.5218705984680165
auc_z,K=545,X_scGPT,kx2-391,0.2611137311808453
auc_z,K=545,X_scGPT,cay10618,0.374360941738719
auc_z,K=545,X_scGPT,ml162,0.5216295573624924
auc_z,K=545,X_scGPT,dasatinib,0.4731404670616939
auc,K=5,X_pca,"1s,3r-rsl-3",0.6132111492938757
auc,K=5,X_pca,kx2-391,0.13629965536005806
auc,K=5,X_pca,cay10618,0.3051408535652022
auc,K=5,X_pca,ml162,0.6050552261287705
auc,K=5,X_pca,dasatinib,0.5446113628441965
auc,K=5,X_scGPT,"1s,3r-rsl-3",0.6024638150408926
auc,K=5,X_scGPT,kx2-391,0.33074188282241973
auc,K=5,X_scGPT,cay10618,0.30453682617174344
auc,K=5,X_scGPT,ml162,0.6229237342074511
auc,K=5,X_scGPT,dasatinib,0.5487835482746601
auc,K=545,X_pca,"1s,3r-rsl-3",-0.04100493470429285
auc,K=545,X_pca,kx2-391,0.11937239252675495
auc,K=545,X_pca,cay10618,0.03613643763509344
auc,K=545,X_pca,ml162,-0.024482487307268506
auc,K=545,X_pca,dasatinib,-0.010310212617636807
auc,K=545,X_scGPT,"1s,3r-rsl-3",-0.13626168715921363
auc,K=545,X_scGPT,kx2-391,-0.11974242699074915
auc,K=545,X_scGPT,cay10618,0.00011608934889298161
auc,K=545,X_scGPT,ml162,-0.10818324020059461
auc,K=545,X_scGPT,dasatinib,-0.07119205298013245
