,n_lines,auc_mean,auc_std,kills,spares,cov_frac
snx-2112,179,0.66,0.148,28,29,0.994
decitabine,178,0.933,0.128,1,169,0.989
brd-k63431240,178,0.703,0.122,4,24,0.989
pha-793887,178,0.787,0.104,1,78,0.989
pd318088,178,0.778,0.202,11,85,0.989
pazopanib,178,0.876,0.122,2,152,0.989
ceranib-2,178,0.77,0.124,0,58,0.989
vincristine,178,0.568,0.191,61,19,0.989
osi-027,178,0.762,0.091,1,59,0.989
nsc632839,178,0.882,0.148,0,113,0.989
curcumin,178,0.79,0.093,0,60,0.989
sb-225002,177,0.826,0.077,0,108,0.983
ml311,177,0.751,0.078,1,36,0.983
c6-ceramide,177,0.935,0.064,0,173,0.983
b02,177,0.893,0.161,0,142,0.983
cytochalasin b,177,0.865,0.146,0,134,0.983
sirolimus,177,0.75,0.145,6,63,0.983
pyrazolanthrone,177,0.93,0.124,0,171,0.983
bi-2536,177,0.543,0.177,74,14,0.983
brd-k41597374,177,0.91,0.046,0,173,0.983
triptolide,177,0.791,0.114,1,80,0.983
neratinib,177,0.77,0.181,12,75,0.983
triazolothiadiazine,177,0.685,0.139,16,35,0.983
mgcd-265,177,0.877,0.097,1,156,0.983
apicidin,177,0.669,0.109,7,15,0.983
veliparib,177,0.993,0.135,1,176,0.983
gdc-0941,177,0.728,0.105,5,45,0.983
dasatinib,177,0.631,0.155,35,27,0.983
lenvatinib,177,0.91,0.1,2,166,0.983
l-685458,177,1.038,0.216,1,174,0.983
yk 4-279,177,0.832,0.074,0,121,0.983
ic-87114,177,0.981,0.123,0,172,0.983
linifanib,176,0.831,0.102,2,113,0.978
sirolimus:bortezomib (250:1 mol/mol),176,0.673,0.139,18,34,0.978
leptomycin b,176,0.328,0.181,151,4,0.978
brd-k04800985,176,0.946,0.109,0,175,0.978
brd-k07442505,176,0.94,0.084,0,173,0.978
linsitinib,176,0.913,0.095,0,162,0.978
clofarabine,176,0.742,0.168,15,68,0.978
ml162,176,0.628,0.156,48,27,0.978
sch-79797,176,0.662,0.09,4,13,0.978
ml239,176,0.925,0.131,0,164,0.978
quizartinib,176,0.951,0.161,0,170,0.978
cct036477,176,0.937,0.093,0,173,0.978
carboplatin:etoposide (40:17 mol/mol),176,0.857,0.084,0,142,0.978
necrostatin-7,176,0.918,0.076,0,168,0.978
pf-573228,176,0.833,0.062,0,129,0.978
parbendazole,176,0.698,0.17,16,45,0.978
gsk4112,176,0.944,0.052,0,174,0.978
nsc48300,176,0.936,0.195,0,168,0.978
plx-4720,176,0.921,0.087,0,166,0.978
nvp-231,176,0.892,0.15,0,123,0.978
lbh-589,176,0.386,0.144,146,3,0.978
doxorubicin,176,0.545,0.121,61,3,0.978
zebularine,176,0.928,0.124,0,171,0.978
gmx-1778,176,0.828,0.124,1,111,0.978
gdc-0879,176,0.958,0.152,0,162,0.978
tgx-221,176,0.878,0.079,0,153,0.978
sr-ii-138a,176,0.544,0.131,66,8,0.978
unc0638,176,0.938,0.118,0,156,0.978
azd8055,176,0.59,0.18,46,12,0.978
fqi-2,176,0.972,0.296,0,127,0.978
etomoxir,176,0.947,0.093,0,174,0.978
ko-143,176,0.901,0.066,0,167,0.978
ac55649,176,0.932,0.059,0,175,0.978
alisertib,176,0.827,0.129,3,108,0.978
tpca-1,175,0.842,0.092,0,117,0.972
carboplatin,175,0.968,0.094,0,173,0.972
navitoclax,175,0.936,0.223,1,147,0.972
topotecan,175,0.638,0.178,37,18,0.972
fumonisin b1,175,0.949,0.071,0,173,0.972
tipifarnib-p1,175,0.902,0.096,0,156,0.972
myricetin,175,0.981,0.08,0,175,0.972
brd-k33199242,175,0.944,0.083,0,170,0.972
azd6482,175,0.855,0.175,0,115,0.972
pik-93,175,0.811,0.081,0,94,0.972
cerulenin,175,0.848,0.094,0,137,0.972
brd9876,175,0.945,0.14,0,154,0.972
unc0321,175,1.006,0.148,0,173,0.972
isox,175,0.776,0.072,1,57,0.972
ver-155008,175,0.891,0.096,0,168,0.972
brd1835,175,0.925,0.066,0,171,0.972
brd-k66453893,175,0.822,0.066,0,108,0.972
gefitinib,175,0.814,0.134,3,101,0.972
brd-k70511574,175,0.765,0.148,2,57,0.972
nilotinib,175,0.919,0.101,0,155,0.972
vu0155056,175,0.93,0.097,0,174,0.972
imatinib,175,0.92,0.094,0,167,0.972
nsc23766,175,0.855,0.083,0,135,0.972
nsc30930,175,0.95,0.13,0,170,0.972
brd8899,175,0.945,0.065,0,173,0.972
ouabain,175,0.442,0.21,125,12,0.972
mln2238,175,0.614,0.123,24,12,0.972
rita,175,0.834,0.146,10,125,0.972
bms-195614,175,0.924,0.045,0,173,0.972
bortezomib,175,0.833,0.21,0,63,0.972
kx2-391,175,0.655,0.179,34,33,0.972
ku-60019,175,0.907,0.146,0,163,0.972
birinapant,175,0.89,0.164,6,151,0.972
bibr-1532,175,0.922,0.095,0,168,0.972
brd-a71883111,175,0.949,0.083,0,173,0.972
sr1001,175,0.945,0.05,0,175,0.972
sgx-523,175,0.928,0.125,1,170,0.972
erastin,175,0.83,0.134,1,110,0.972
manumycin a,175,0.895,0.092,0,152,0.972
merck60,175,0.885,0.132,0,136,0.972
erismodegib,175,0.944,0.097,0,173,0.972
ruxolitinib,175,0.997,0.155,0,172,0.972
ciclopirox,175,0.907,0.265,0,94,0.972
fluorouracil,175,0.911,0.15,1,147,0.972
selumetinib,175,0.766,0.176,12,80,0.972
jw-480,175,0.982,0.152,0,174,0.972
jq-1,175,0.81,0.187,2,79,0.972
sb-743921,175,0.496,0.225,90,19,0.972
erlotinib,174,0.83,0.105,1,118,0.967
dacarbazine,174,0.932,0.106,0,167,0.967
cd-437,174,0.803,0.094,1,87,0.967
cay10618,174,0.678,0.177,21,33,0.967
ml203,174,0.955,0.074,0,173,0.967
brd-k88742110,174,0.938,0.117,0,172,0.967
mk-0752,174,0.973,0.101,0,172,0.967
isoevodiamine,174,0.825,0.081,0,109,0.967
docetaxel:tanespimycin (2:1 mol/mol),174,0.482,0.196,103,13,0.967
lovastatin,174,0.79,0.116,0,77,0.967
crizotinib:plx-4032 (2:1 mol/mol),174,0.828,0.173,2,89,0.967
