input_dropout,rep,seed,order
0.02,X_pca,42,0.27373141887950675
0.02,X_pca,43,0.2689311227310473
0.02,X_pca,44,0.28326062995992696
0.02,X_scGPT,42,0.2277248864573775
0.02,X_scGPT,43,0.23072077707220065
0.02,X_scGPT,44,0.2281385864470172
0.05,X_pca,42,0.27082046062499693
0.05,X_pca,43,0.27435568221754814
0.05,X_pca,44,0.2663094042124143
0.05,X_scGPT,42,0.22742936392124882
0.05,X_scGPT,43,0.2305387849766639
0.05,X_scGPT,44,0.22658394031584225
0.2,X_pca,42,0.2801139204785208
0.2,X_pca,43,0.25530357638949014
0.2,X_pca,44,0.2602985577634115
0.2,X_scGPT,42,0.2294303566478602
0.2,X_scGPT,43,0.22597432252151506
0.2,X_scGPT,44,0.22790680556184365
0.3,X_pca,42,0.2685594681757138
0.3,X_pca,43,0.2541166942340159
0.3,X_pca,44,0.2610710173720555
0.3,X_scGPT,42,0.23179822990014284
0.3,X_scGPT,43,0.2239236213446194
0.3,X_scGPT,44,0.22577273930535516
