drug,median_R2,frac_ns,label_sd,n,X_pca,X_scGPT
crizotinib,0.966777,0.0,0.089084,179,0.175575,-0.013936
doxorubicin,0.956653,0.005495,0.132858,182,0.319617,0.227236
afatinib,0.920696,0.011834,0.133714,169,0.463652,0.417918
dasatinib,0.878851,0.016393,0.168618,183,0.513434,0.503702
erlotinib,0.875999,0.044199,0.121768,181,0.4371,0.43859
etoposide,0.891029,0.044944,0.08963,178,0.235653,0.107241
paclitaxel,0.582913,0.045198,0.202239,177,0.25387,0.226516
sorafenib,0.906296,0.073034,0.095958,178,0.126557,0.146005
gemcitabine,0.815545,0.092896,0.204516,183,0.148204,0.095143
imatinib,0.690494,0.127072,0.085663,181,0.017675,-0.029219
platin,0.166473,0.733333,0.061748,180,0.029493,0.090916
