program,rho,p,n
ProtDegra_score,-0.19019286422601336,0.010332224520184514,181
ProtMatu_score,-0.16069253030578995,0.030696704454367597,181
p53Sen_score,0.05333414283690527,0.475799934445669,181
G1/S_score,-0.05089146580859287,0.49626882231782876,181
EpiSen_score,0.050865156942505,0.4964917890438096,181
EMTI_score,0.04984518244186752,0.5051767149178048,181
StressResp_score,-0.037593345880638694,0.6153577709357659,181
proliferation,-0.033786655333616654,0.6516056522058359,181
IFNResp_score,-0.02910570092890535,0.697315584250165,181
G2/M_score,-0.021739218424301293,0.7714495620362386,181
EMTII_score,0.007793495638799506,0.9170694205143648,181
EMTIII_score,0.007793495638799506,0.9170694205143648,181
SkinPig_score,-0.0066682856738105355,0.929008749390188,181
