,cells,drugs,loss_share
NCIH2110_LUNG,1990,469,0.043741
NCIH460_LUNG,837,505,0.01981
SCC25_UPPER_AERODIGESTIVE_TRACT,898,436,0.018349
HOS_BONE,829,465,0.018066
RERFLCAI_LUNG,763,464,0.016592
IGR1_SKIN,725,467,0.015868
A375_SKIN,593,505,0.014035
YD38_UPPER_AERODIGESTIVE_TRACT,624,447,0.013072
C32_SKIN,554,454,0.011788
NCIH1299_LUNG,534,469,0.011737
COLO680N_OESOPHAGUS,523,469,0.011496
42MGBA_CENTRAL_NERVOUS_SYSTEM,518,473,0.011483
HT1080_SOFT_TISSUE,516,471,0.01139
NCIH2452_PLEURA,538,448,0.011296
TE6_OESOPHAGUS,551,422,0.010897
PANC0203_PANCREAS,506,455,0.01079
TE14_OESOPHAGUS,474,474,0.01053
SCC9_UPPER_AERODIGESTIVE_TRACT,475,473,0.01053
VMCUB1_URINARY_TRACT,478,468,0.010484
SNUC4_LARGE_INTESTINE,467,467,0.010221
8305C_THYROID,459,469,0.010089
NCIH1944_LUNG,414,467,0.009061
HEC59_ENDOMETRIUM,385,467,0.008426
LS180_LARGE_INTESTINE,361,464,0.00785
IGR37_SKIN,347,476,0.007741
NCIH2228_LUNG,367,449,0.007723
SH10TC_STOMACH,351,469,0.007715
SKMEL30_SKIN,353,465,0.007693
SNU738_CENTRAL_NERVOUS_SYSTEM,379,429,0.00762
BFTC909_KIDNEY,379,425,0.007549
NCIH358_LUNG,336,467,0.007354
KYSE520_OESOPHAGUS,323,466,0.007054
TCCSUP_URINARY_TRACT,316,467,0.006916
SW1990_PANCREAS,307,471,0.006777
VMRCRCZ_KIDNEY,300,473,0.00665
ZR751_BREAST,309,456,0.006604
SKMEL5_SKIN,297,466,0.006486
ASPC1_PANCREAS,290,475,0.006456
CAMA1_BREAST,291,465,0.006342
HMC18_BREAST,293,460,0.006317
KALS1_CENTRAL_NERVOUS_SYSTEM,288,466,0.00629
SNU1196_BILIARY_TRACT,286,469,0.006286
BICR6_UPPER_AERODIGESTIVE_TRACT,286,467,0.00626
A2058_SKIN,294,452,0.006228
NCIH1568_LUNG,287,462,0.006214
SNU449_LIVER,282,470,0.006212
CAKI2_KIDNEY,278,472,0.00615
DAOY_CENTRAL_NERVOUS_SYSTEM,281,466,0.006137
HUH6_LIVER,338,380,0.00602
NCIH650_LUNG,271,469,0.005957
OVCAR4_OVARY,283,449,0.005955
ONCODG1_OVARY,270,469,0.005935
PK45H_PANCREAS,271,465,0.005906
NCIH727_LUNG,270,465,0.005884
DKMG_CENTRAL_NERVOUS_SYSTEM,271,462,0.005868
COLO792_SKIN,271,460,0.005842
IALM_LUNG,322,387,0.00584
MSTO211H_PLEURA,297,419,0.005832
NCIH2126_LUNG,264,466,0.005766
KPL1_BREAST,276,445,0.005756
RD_SOFT_TISSUE,261,468,0.005725
MKN7_STOMACH,258,470,0.005683
BT549_BREAST,266,455,0.005672
LMSU_STOMACH,255,471,0.005629
CALU6_LUNG,258,465,0.005623
A204_SOFT_TISSUE,250,475,0.005565
NCIH1435_LUNG,267,444,0.005556
BICR31_UPPER_AERODIGESTIVE_TRACT,248,471,0.005474
HEC151_ENDOMETRIUM,250,467,0.005472
SKMEL2_SKIN,276,423,0.005472
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,246,473,0.005453
U118MG_CENTRAL_NERVOUS_SYSTEM,244,472,0.005397
PATU8988S_PANCREAS,244,469,0.005363
TE9_OESOPHAGUS,248,453,0.005265
UACC257_SKIN,239,470,0.005264
RVH421_SKIN,239,469,0.005253
WM88_SKIN,242,462,0.00524
TOV21G_OVARY,305,366,0.005232
RCC10RGB_KIDNEY,233,475,0.005187
RERFLCAD1_LUNG,243,448,0.005102
OVSAHO_OVARY,227,469,0.00499
SNU46_UPPER_AERODIGESTIVE_TRACT,236,451,0.004988
SQ1_LUNG,238,442,0.00493
T47D_BREAST,221,476,0.00493
NCIH226_LUNG,235,444,0.00489
CAOV3_OVARY,221,468,0.004847
EFM192A_BREAST,333,308,0.004807
SW579_THYROID,217,472,0.0048
HCC1419_BREAST,221,456,0.004723
HS729_SOFT_TISSUE,215,468,0.004716
BICR16_UPPER_AERODIGESTIVE_TRACT,212,474,0.004709
JHOS2_OVARY,213,469,0.004682
NCIH2444_LUNG,237,420,0.004665
TE10_OESOPHAGUS,219,454,0.00466
HUCCT1_BILIARY_TRACT,241,411,0.004642
NCIH2087_LUNG,219,450,0.004619
HT55_LARGE_INTESTINE,211,467,0.004618
OVTOKO_OVARY,209,469,0.004594
SNU423_LIVER,212,460,0.00457
JHH6_LIVER,206,469,0.004528
TE1_OESOPHAGUS,206,465,0.004489
KMRC3_KIDNEY,245,390,0.004478
HCC366_LUNG,202,469,0.00444
NCIH522_LUNG,208,455,0.004435
PECAPJ49_UPPER_AERODIGESTIVE_TRACT,202,465,0.004402
SKMEL3_SKIN,194,471,0.004282
MFE319_ENDOMETRIUM,191,471,0.004216
COLO741_SKIN,329,272,0.004194
SKNAS_AUTONOMIC_GANGLIA,226,393,0.004163
UMUC1_URINARY_TRACT,197,449,0.004145
GOS3_CENTRAL_NERVOUS_SYSTEM,191,463,0.004145
LI7_LIVER,196,451,0.004143
NCIH446_LUNG,196,450,0.004134
HCC38_BREAST,200,438,0.004105
IM95_STOMACH,185,469,0.004066
EBC1_LUNG,186,463,0.004036
OVK18_OVARY,178,461,0.003846
SNU1214_UPPER_AERODIGESTIVE_TRACT,188,436,0.003842
OAW28_OVARY,161,502,0.003788
PK59_PANCREAS,174,464,0.003784
SNU1077_ENDOMETRIUM,172,469,0.003781
PC3_PROSTATE,169,472,0.003738
HEC108_ENDOMETRIUM,172,461,0.003716
NCIH1373_LUNG,164,464,0.003566
ACCMESO1_PLEURA,162,464,0.003523
HEC6_ENDOMETRIUM,161,460,0.003471
DETROIT562_UPPER_AERODIGESTIVE_TRACT,163,453,0.003461
HS852T_SKIN,162,454,0.003447
BCPAP_THYROID,152,466,0.00332
EKVX_LUNG,146,472,0.00323
LS1034_LARGE_INTESTINE,146,465,0.003182
BHY_UPPER_AERODIGESTIVE_TRACT,145,466,0.003167
SKMES1_LUNG,144,469,0.003165
JHOC5_OVARY,145,464,0.003153
DANG_PANCREAS,143,470,0.00315
KNS42_CENTRAL_NERVOUS_SYSTEM,172,390,0.003144
NCIH2170_LUNG,142,469,0.003121
FTC133_THYROID,140,468,0.003071
MCF7_BREAST,143,457,0.003063
HUPT3_PANCREAS,136,473,0.003015
MDAMB361_BREAST,135,465,0.002942
HUH28_BILIARY_TRACT,139,435,0.002834
RCM1_LARGE_INTESTINE,128,471,0.002825
SW1088_CENTRAL_NERVOUS_SYSTEM,128,469,0.002813
HCC1428_BREAST,127,469,0.002791
OSRC2_KIDNEY,126,466,0.002752
LNCAPCLONEFGC_PROSTATE,129,455,0.002751
BT474_BREAST,125,456,0.002671
CAS1_CENTRAL_NERVOUS_SYSTEM,133,423,0.002637
HT1376_URINARY_TRACT,120,465,0.002615
MKN45_STOMACH,118,468,0.002588
HEP3B217_LIVER,118,465,0.002572
TYKNU_OVARY,117,467,0.002561
TM31_CENTRAL_NERVOUS_SYSTEM,116,460,0.002501
NCIH1792_LUNG,111,465,0.002419
SW1271_LUNG,115,448,0.002415
SJSA1_BONE,110,449,0.002315
OUMS23_LARGE_INTESTINE,107,461,0.002312
HEC251_ENDOMETRIUM,107,458,0.002297
RT4_URINARY_TRACT,106,458,0.002275
KPNSI9S_AUTONOMIC_GANGLIA,129,374,0.002261
2313287_STOMACH,103,463,0.002235
SBC5_LUNG,102,462,0.002209
HCC56_LARGE_INTESTINE,99,463,0.002148
CCK81_LARGE_INTESTINE,127,351,0.002089
SKES1_BONE,91,468,0.001996
SNU308_BILIARY_TRACT,94,451,0.001987
COV434_OVARY,88,462,0.001905
EFE184_ENDOMETRIUM,86,464,0.00187
BICR56_UPPER_AERODIGESTIVE_TRACT,81,476,0.001807
SNU899_UPPER_AERODIGESTIVE_TRACT,83,456,0.001774
SU8686_PANCREAS,82,442,0.001699
TOV112D_OVARY,78,459,0.001678
NCIH747_LARGE_INTESTINE,80,441,0.001653
HT1197_URINARY_TRACT,74,443,0.001536
SNU1079_BILIARY_TRACT,73,436,0.001492
HDQP1_BREAST,64,423,0.001269
HUPT4_PANCREAS,56,462,0.001213
CL34_LARGE_INTESTINE,378,38,0.000673
PANC1_PANCREAS,159,72,0.000537
