rep,alpha,loss,spearman_raw_pooled,spearman_norm_pooled,spearman_raw_per_drug,spearman_norm_per_drug,rho_pred_fragility,partial_rho,n_distinct_naive
X_pca,0.0,mae,0.774,0.3366,0.2617,0.2874,0.1509,0.2077,5
X_pca,0.0,mse,0.77,0.3126,0.2473,0.275,0.1598,0.191,5
X_pca,0.5,mae,0.768,0.3381,0.2824,0.2961,0.1632,0.2276,5
X_pca,0.5,mse,0.767,0.3236,0.2754,0.2925,0.1611,0.2198,5
X_pca,1.0,mae,0.7594,0.3244,0.2765,0.289,0.1588,0.2233,5
X_pca,1.0,mse,0.7584,0.309,0.2679,0.2826,0.1676,0.2131,5
X_scGPT,0.0,mae,0.7697,0.3139,0.2403,0.2676,0.1088,0.2009,5
X_scGPT,0.0,mse,0.7622,0.2686,0.2009,0.2303,0.0985,0.1647,5
X_scGPT,0.5,mae,0.7585,0.2997,0.2395,0.2564,0.1319,0.1933,5
X_scGPT,0.5,mse,0.7512,0.248,0.1927,0.2132,0.109,0.1519,5
X_scGPT,1.0,mae,0.7458,0.2679,0.2214,0.2343,0.1327,0.1712,5
X_scGPT,1.0,mse,0.7427,0.2443,0.2031,0.2182,0.1224,0.158,5
