variant,GENE,outcome,current_symbol,n_cells_expressed,pct_cells_expressed,total_expression,collides_with_existing_row
all_genes,STRA13,unresolvable (former symbol maps to several genes),,50873,95.06661932614506,19524655.48350986,False
all_genes,SELT,not an HGNC former symbol,,41044,76.69911984003886,6022521.304375616,False
all_genes,SELK,not an HGNC former symbol,,41075,76.75704968886065,5922958.127818707,False
all_genes,SEP15,not an HGNC former symbol,,41196,76.98316296974566,5693440.599751,False
all_genes,RP11-345J4.5,not an HGNC former symbol,,36443,68.10120905200606,4924564.944377437,False
all_genes,SELM,not an HGNC former symbol,,27594,51.565040270588455,4591167.437515904,False
all_genes,RP11-14N7.2,not an HGNC former symbol,,30623,57.22534711191673,4504788.063540663,False
all_genes,MATR3,not an HGNC former symbol,,33323,62.27085007381385,3982889.7261225553,False
all_genes,AC010642.1,not an HGNC former symbol,,29520,55.16416571674173,3185177.1491517257,False
all_genes,POLR2J3,not an HGNC former symbol,,28230,52.75353652383533,2818842.1073683086,False
all_genes,RP11-783K16.5,not an HGNC former symbol,,23080,43.12970680021677,2233815.113537676,False
all_genes,QARS,unresolvable (former symbol maps to several genes),,24086,45.009623829723616,2026760.527470041,False
all_genes,LINC00969,"renamed, current symbol also absent",MIR570HG,23622,44.1425448021976,1985457.6075650344,False
all_genes,RP11-620J15.3,not an HGNC former symbol,,18073,33.77310186309869,1884291.5401986395,False
all_genes,RP11-1094M14.11,not an HGNC former symbol,,21799,40.7358959505167,1866020.1678284255,False
all_genes,C21orf33,"renamed, current symbol also absent",GATD3,20149,37.65253302935736,1595402.8199341968,False
all_genes,RP11-532F12.5,not an HGNC former symbol,,16313,30.484181413862053,1514668.4145854893,False
all_genes,RP11-554I8.2,not an HGNC former symbol,,14335,26.787883318072243,1484750.3427161467,False
all_genes,MUM1,unresolvable (former symbol maps to several genes),,18625,34.80462691308654,1404618.7016634443,False
all_genes,CYB561D2,not an HGNC former symbol,,15646,29.237755311793396,1104117.0229397572,False
all_genes,RP11-395G23.3,not an HGNC former symbol,,12261,22.912189561414984,1064593.2023420343,False
all_genes,PINX1,not an HGNC former symbol,,15007,28.043652944144416,1040617.7172321426,False
all_genes,C3orf17,"renamed, current symbol also absent",RMP64,15061,28.144563003382356,986739.8274241368,False
all_genes,RP11-452F19.3,not an HGNC former symbol,,13505,25.23685833348906,952893.771118268,False
all_genes,AP006222.2,not an HGNC former symbol,,13911,25.99555248257433,910609.7595515768,False
all_genes,AL592183.1,not an HGNC former symbol,,11510,21.508792256087304,853574.9700938384,False
all_genes,METTL13,not an HGNC former symbol,,12776,23.87457253377684,848465.4724662846,False
all_genes,AL589743.1,not an HGNC former symbol,,10547,19.70922953301067,769068.1582669556,False
all_genes,RP13-463N16.6,not an HGNC former symbol,,8602,16.07459869564405,763294.3473418315,False
all_genes,TOPORS-AS1,"renamed, current symbol also absent",TZMP1,11450,21.39666996804515,742940.9893286172,False
all_genes,RP11-490M8.1,not an HGNC former symbol,,9647,18.0273952123783,700043.797386589,False
all_genes,RP3-460G2.2,not an HGNC former symbol,,8443,15.77747463233233,686343.321602188,False
all_genes,AC006262.5,not an HGNC former symbol,,5514,10.30403827107432,677085.3135831342,False
all_genes,RP11-332H14.2,not an HGNC former symbol,,9965,18.621643339001736,654415.6377571262,False
all_genes,RP11-49I11.1,not an HGNC former symbol,,7429,13.88260796441986,614759.4159114043,False
all_genes,RP11-500C11.3,not an HGNC former symbol,,9434,17.62936108982864,607825.8284049991,False
