variant,n_hvg,rep,score,heads_beat_mean,heads_beat_std,delta_mean,delta_std,val_mse_mean,n_total
hvg1000,1000,X_pca,auc_cc,278.2,28.57551399362748,-0.00025382590286756045,0.00011619542307775953,0.010329026187081331,534
hvg1000,1000,X_scGPT,auc_cc,300.2,26.573671180324332,-0.0004891879960068901,0.00019964869860823183,0.01014316555959113,534
hvg2000,2000,X_pca,auc_cc,280.8,18.519179247472067,-0.00028275251739011376,9.663893109088459e-05,0.010343615823502595,534
hvg2000,2000,X_scGPT,auc_cc,301.8,17.497428382479523,-0.0004875293692632947,0.00013145447307208116,0.010151148226643673,534
hvg3000,3000,X_pca,auc_cc,278.8,26.731255114565798,-0.0003082647532284561,8.962517340144182e-05,0.010300474650818294,534
hvg3000,3000,X_scGPT,auc_cc,288.2,36.60273213846202,-0.0004693062629521381,0.0002843049920179902,0.01017867717343347,534
hvg5000,5000,X_pca,auc_cc,284.0,28.474550040343043,-0.00037915995343286435,0.00013427092073199951,0.010335418353954708,534
hvg5000,5000,X_scGPT,auc_cc,293.6,25.842600488340953,-0.0004562998176621952,0.00024566345667940357,0.010234787393959647,534
all_genes,22722,X_pca,auc_cc,278.4,33.85025849236605,-0.00033395240984394577,0.0001367946384091044,0.010408572289122033,534
all_genes,22722,X_scGPT,auc_cc,303.8,34.631777315061385,-0.00041622868362666785,0.0002331269448306033,0.010201124913204252,534
