rank,drug,n_lines,cov_frac,auc_mean,auc_std,dyn_range,n_sens,n_res,learnability,learnable_strict
1,fqi-2,176,0.97778,0.97221,0.29586,1.01597,0,127,0.28929,False
2,ciclopirox,175,0.97222,0.90725,0.26516,0.97139,0,94,0.2578,False
3,brd-k71781559,170,0.94444,1.01495,0.2571,0.91002,0,168,0.24281,False
4,paclitaxel,170,0.94444,0.56951,0.24605,0.68319,66,25,0.23238,False
5,daporinad,163,0.90556,0.68693,0.25318,0.80344,40,43,0.22927,False
6,aa-cocf3,171,0.95,0.90217,0.23953,0.77004,0,99,0.22756,False
7,brd-k92856060,170,0.94444,0.95452,0.23933,0.57788,0,164,0.22603,False
8,gsk461364,165,0.91667,0.62092,0.24443,0.79848,61,35,0.22406,False
9,tacrolimus,171,0.95,0.99072,0.2345,0.77864,0,165,0.22277,False
10,sb-743921,175,0.97222,0.49603,0.22512,0.70725,90,19,0.21887,False
11,navitoclax,175,0.97222,0.93564,0.22321,0.56945,1,147,0.21701,False
12,l-685458,177,0.98333,1.03784,0.21605,0.65802,1,174,0.21245,False
13,oxaliplatin,173,0.96111,0.99271,0.21968,0.57018,0,160,0.21114,False
14,pyr-41,169,0.93889,0.97661,0.22247,0.67257,0,169,0.20888,False
15,oligomycin a,165,0.91667,0.61672,0.2274,0.78903,35,36,0.20845,False
16,bortezomib,175,0.97222,0.83328,0.21015,0.70243,0,63,0.20432,False
17,ouabain,175,0.97222,0.44164,0.20964,0.64877,125,12,0.20382,False
18,vorinostat:navitoclax (4:1 mol/mol),167,0.92778,0.84345,0.21957,0.59748,0,70,0.20371,False
19,pd318088,178,0.98889,0.77757,0.20245,0.5421,11,85,0.2002,False
20,agk-2,174,0.96667,0.98671,0.20513,0.76265,0,171,0.1983,False
21,selumetinib:piperlongumine (8:1 mol/mol),173,0.96111,0.80651,0.20599,0.74381,9,86,0.19798,False
22,methotrexate,170,0.94444,0.60686,0.20504,0.61891,52,31,0.19365,False
23,mitomycin,172,0.95556,0.78834,0.20176,0.70431,3,60,0.1928,False
24,pevonedistat,170,0.94444,0.84761,0.20273,0.707,2,91,0.19147,False
25,nsc48300,176,0.97778,0.93612,0.1952,0.79789,0,168,0.19086,False
