rep,drug,model_mse,baseline_mse,delta,n_val_cells,beats_baseline
X_pca,"1s,3r-rsl-3",0.6472072005271912,1.0652772009807574,-0.41807000045356624,7047.0,True
X_pca,kx2-391,1.3611047267913818,0.9960198685800568,0.3650848582113251,7121.0,False
X_pca,cay10618,1.0678019523620605,1.0034533391070717,0.06434861325498886,7121.0,False
X_pca,ml162,0.7231010794639587,1.024140606545046,-0.3010395270810873,7121.0,True
X_pca,dasatinib,0.8214321136474609,1.1436084921326024,-0.32217637848514147,7121.0,True
X_scGPT,"1s,3r-rsl-3",0.6261968612670898,1.0652772009807574,-0.43908033971366756,7047.0,True
X_scGPT,kx2-391,1.0211973190307617,0.9960198685800568,0.025177450450704963,7121.0,False
X_scGPT,cay10618,0.9508810639381409,1.0034533391070717,-0.052572275168930815,7121.0,True
X_scGPT,ml162,0.6513224244117737,1.024140606545046,-0.37281818213327234,7121.0,True
X_scGPT,dasatinib,0.6358359456062317,1.1436084921326024,-0.5077725465263707,7121.0,True
