rank,drug,n_lines,cov_frac,auc_mean,auc_std,dyn_range,n_sens,n_res,learnability,passes_gate,selected
1,daporinad,163,0.90556,0.68693,0.25318,0.80344,40,43,40,True,True
2,ml210,170,0.94444,0.68828,0.19277,0.57519,39,56,39,True,True
3,gsk461364,165,0.91667,0.62092,0.24443,0.79848,61,35,35,True,True
4,oligomycin a,165,0.91667,0.61672,0.2274,0.78903,35,36,35,True,True
5,kx2-391,175,0.97222,0.65512,0.17853,0.58914,34,33,33,True,True
6,methotrexate,170,0.94444,0.60686,0.20504,0.61891,52,31,31,True,True
7,rigosertib,172,0.95556,0.6499,0.15673,0.48713,29,33,29,True,True
8,snx-2112,179,0.99444,0.65954,0.14761,0.47322,28,29,28,True,True
9,dasatinib,177,0.98333,0.63108,0.15527,0.46846,35,27,27,True,True
10,ml162,176,0.97778,0.6279,0.15625,0.49567,48,27,27,True,True
11,navitoclax:gemcitabine (1:1 mol/mol),169,0.93889,0.61701,0.1862,0.5725,43,27,27,True,False
12,paclitaxel,170,0.94444,0.56951,0.24605,0.68319,66,25,25,True,False
13,cay10618,174,0.96667,0.67776,0.17739,0.49271,21,33,21,True,False
14,"1s,3r-rsl-3",173,0.96111,0.55258,0.19384,0.61868,75,21,21,True,False
15,brd-k97651142,170,0.94444,0.72309,0.1726,0.53495,21,67,21,True,False
16,selumetinib:mk-2206 (8:1 mol/mol),173,0.96111,0.67289,0.13895,0.42984,20,24,20,True,False
17,vincristine,178,0.98889,0.56766,0.19062,0.63703,61,19,19,True,False
18,sb-743921,175,0.97222,0.49603,0.22512,0.70725,90,19,19,True,False
19,afatinib,164,0.91111,0.69861,0.15647,0.4788,19,26,19,True,False
20,sirolimus:bortezomib (250:1 mol/mol),176,0.97778,0.67337,0.13913,0.42947,18,34,18,True,False
21,topotecan,175,0.97222,0.63757,0.17837,0.45539,37,18,18,True,False
22,tanespimycin:gemcitabine (1:1 mol/mol),173,0.96111,0.67421,0.14086,0.45071,17,29,17,True,False
23,selumetinib:jq-1 (4:1 mol/mol),169,0.93889,0.62291,0.14825,0.47048,29,17,17,True,False
24,triazolothiadiazine,177,0.98333,0.68456,0.13855,0.46608,16,35,16,True,False
25,parbendazole,176,0.97778,0.69764,0.17046,0.51015,16,45,16,True,False
26,brefeldin a,168,0.93333,0.5912,0.15155,0.51369,48,16,16,True,False
27,clofarabine,176,0.97778,0.74172,0.16789,0.52333,15,68,15,True,False
28,selumetinib:tretinoin (2:1 mol/mol),172,0.95556,0.73543,0.17409,0.48954,15,63,15,True,False
29,bi-2536,177,0.98333,0.54326,0.17678,0.58743,74,14,14,True,False
30,tanespimycin,173,0.96111,0.70942,0.16261,0.53041,14,44,14,True,False
31,pluripotin,173,0.96111,0.64226,0.14156,0.38051,15,14,14,True,False
32,selumetinib:gdc-0941 (4:1 mol/mol),171,0.95,0.61121,0.14518,0.44326,36,14,14,True,False
33,docetaxel:tanespimycin (2:1 mol/mol),174,0.96667,0.48151,0.19554,0.63428,103,13,13,True,False
34,selumetinib:unc0638 (4:1 mol/mol),174,0.96667,0.75336,0.15716,0.48228,13,69,13,True,False
35,snx-2112:bortezomib (250:1 mol/mol),173,0.96111,0.64986,0.11508,0.36034,13,15,13,True,False
36,selumetinib:brd-a02303741 (4:1 mol/mol),172,0.95556,0.75966,0.17643,0.56068,13,75,13,True,False
37,selumetinib:navitoclax (8:1 mol/mol),169,0.93889,0.72487,0.1748,0.61484,13,59,13,True,False
38,sns-032,167,0.92778,0.63232,0.13025,0.39829,22,13,13,True,False
39,neratinib,177,0.98333,0.77033,0.18054,0.52654,12,75,12,True,False
40,azd8055,176,0.97778,0.58983,0.18038,0.44949,46,12,12,True,False
41,ouabain,175,0.97222,0.44164,0.20964,0.64877,125,12,12,True,False
42,mln2238,175,0.97222,0.61387,0.12289,0.36008,24,12,12,True,False
43,selumetinib,175,0.97222,0.76622,0.17629,0.55736,12,80,12,True,False
44,selumetinib:plx-4032 (8:1 mol/mol),174,0.96667,0.74385,0.14847,0.45352,12,71,12,True,False
45,pd318088,178,0.98889,0.77757,0.20245,0.5421,11,85,11,True,False
46,navitoclax:pluripotin (1:1 mol/mol),170,0.94444,0.6243,0.12817,0.36506,16,11,11,True,False
47,rita,175,0.97222,0.8343,0.14641,0.507,10,125,10,True,False
48,cucurbitacin i,169,0.93889,0.61831,0.1172,0.37096,27,10,10,True,False
49,cr-1-31b,173,0.96111,0.47322,0.17416,0.56005,107,9,9,True,False
50,canertinib,173,0.96111,0.78399,0.13319,0.45748,9,90,9,True,False
51,selumetinib:piperlongumine (8:1 mol/mol),173,0.96111,0.80651,0.20599,0.74381,9,86,9,True,False
52,foretinib,168,0.93333,0.69369,0.13014,0.38787,9,22,9,True,False
53,sr-ii-138a,176,0.97778,0.54412,0.13056,0.42829,66,8,8,True,False
54,selumetinib:decitabine (4:1 mol/mol),163,0.90556,0.75783,0.13952,0.41801,8,72,8,True,False
55,apicidin,177,0.98333,0.66865,0.10922,0.32982,7,15,7,True,False
56,nvp-tae684,173,0.96111,0.69742,0.09695,0.29149,7,20,7,True,False
57,tanespimycin:bortezomib (250:1 mol/mol),170,0.94444,0.71567,0.11691,0.39281,7,37,7,True,False
58,narciclasine,165,0.91667,0.56503,0.17293,0.41693,60,7,7,True,False
59,sirolimus,177,0.98333,0.74976,0.14526,0.47468,6,63,6,True,False
60,birinapant,175,0.97222,0.88991,0.16354,0.37604,6,151,6,True,False
61,jq-1:vorinostat (2:1 mol/mol),172,0.95556,0.69485,0.10758,0.29735,6,20,6,True,False
