drug,n_lines,spearman,pearson,true_std
snx-2112,27,-0.08309151651814281,-0.14575542216983894,0.16413929932533317
decitabine,26,-0.07087835840655705,-0.02039524670397394,0.0667385031568982
brd-k63431240,27,-0.17189206625958722,-0.19581691370482784,0.09052339217026818
pha-793887,27,-0.11136636325340067,-0.13719622033356735,0.12209700914126125
pd318088,27,0.23052294032186096,0.2694200386145758,0.16171149026605391
pazopanib,26,-0.32846157469694787,-0.26866046226449436,0.11752177254897121
ceranib-2,27,-0.12785512175309727,-0.17507957741936564,0.10009218418415661
vincristine,27,-0.11347323235285918,-0.08340196438951902,0.21933537021809096
osi-027,26,-0.3621110767244394,-0.24282662135927235,0.09081253700412091
nsc632839,26,-0.20068522571861047,-0.33506542061196204,0.08909631828539566
curcumin,27,-0.05609243424564651,-0.12697454981276587,0.06614061047055082
sb-225002,27,-0.033945011270162175,-0.05315877499120805,0.1016085165669609
ml311,27,-0.06958984999749122,-0.01860025140904769,0.07512009145651558
c6-ceramide,27,-0.13342487699899822,-0.15080887445334293,0.06301183676064705
b02,27,-0.06474271560337799,-0.023980578104448105,0.10681835920341884
cytochalasin b,27,-0.42968775840023626,-0.3644930367734692,0.06041728861474511
sirolimus,27,-0.252178138612001,-0.18759979485568434,0.11743544408454355
pyrazolanthrone,27,-0.18245734905444821,-0.2161910757734813,0.06267791909343813
bi-2536,27,-0.28962462849459664,-0.23205973411307823,0.17225432509838387
brd-k41597374,26,0.05926103985928848,0.10415080789716788,0.05052189377519605
triptolide,27,0.15264415732960182,-0.029811726167697297,0.09075998078560599
neratinib,27,0.12671756315914298,0.20152888967341917,0.11019528324154869
triazolothiadiazine,27,0.11741676017298684,0.028600530817390335,0.16051250564469388
mgcd-265,27,0.05872469167587321,0.17830148177300115,0.061595110784282765
apicidin,27,-0.07129764325030095,-0.0538115319634812,0.09471699863965745
veliparib,27,-0.15250343687044648,-0.05858894779838151,0.055115193060298925
gdc-0941,27,0.024434946526164906,0.03501487061951901,0.13273598350701532
dasatinib,27,-0.19126191963436637,-0.1791715476361065,0.16201940565998124
lenvatinib,27,-0.351738457970436,-0.30394880460187007,0.10445000799585526
l-685458,27,-0.2167867306432991,-0.10495103518759596,0.05863304392971128
yk 4-279,27,-0.07925360344132165,-0.10910276594247034,0.07473077143201153
ic-87114,26,-0.2741746107350518,-0.24194407537484097,0.05782127971454042
linifanib,27,-0.018980640504588815,-0.07876940526262999,0.07660745553595613
sirolimus:bortezomib (250:1 mol/mol),26,-0.19503856580079537,-0.15472882604894594,0.10519470092866107
leptomycin b,27,0.1872041729475033,0.10182493725854228,0.16221633877996858
brd-k07442505,27,0.14078088950435091,0.06201226443097263,0.05843769892186332
linsitinib,27,-0.06511777708505417,0.03868167654771552,0.07853821252314912
clofarabine,27,0.06465222419908373,0.08801213119567863,0.14441350756440385
ml162,27,-0.47607935361927817,-0.36544447388475954,0.1529401499323335
sch-79797,27,-0.15259700855401231,-0.19364681069074435,0.09445775224511921
ml239,27,-0.3142272962441785,-0.23667918721977863,0.0676377648609458
quizartinib,27,-0.2626608303569266,-0.1857409580627729,0.07643879531138428
cct036477,27,-0.3955927912559283,-0.3607520179350032,0.0720169190954782
carboplatin:etoposide (40:17 mol/mol),27,-0.04220837214203387,-0.04978641313404231,0.06815174051175053
necrostatin-7,26,-0.2912538579048738,-0.3069254728129296,0.06181511963991089
pf-573228,27,-0.26008576892015983,-0.20361923412188707,0.0828560172883107
parbendazole,27,-0.07682918654108949,-0.10424256977414054,0.17591935805132308
gsk4112,27,-0.08633130035958139,-0.05419156752541977,0.057806672853615404
nsc48300,27,-0.18987949186105607,-0.2378767701874388,0.06941748956159066
plx-4720,27,-0.352423977912499,-0.28511991180399354,0.08126456900812755
nvp-231,27,-0.02906539700294798,-0.07794122766827183,0.07548287119139017
lbh-589,27,-0.007338337849702649,-0.03965669538629585,0.12392733264903337
doxorubicin,26,-0.02741140942691532,-0.013387457075829862,0.1188840096013199
zebularine,27,0.214256570760785,0.09761247932267474,0.06695633009085111
gmx-1778,27,-0.09221137459016501,-0.07354017495056406,0.1076833638801165
gdc-0879,27,0.03899869184233327,0.11554250831758538,0.1074809668051074
tgx-221,26,-0.08543544894000131,-0.03803221413237695,0.0904690971421684
sr-ii-138a,26,-0.06431749709472179,-0.04545206150653732,0.13785036817903557
unc0638,27,-0.054773725930488716,-0.04069418028882317,0.08292969450440765
azd8055,26,-0.08780701733741096,0.0007489549906914347,0.13103787404884826
fqi-2,27,-0.0823009662504527,-0.08551686499515362,0.12759860966802689
