rep,seed,drug_a,drug_b,cell_line,n_cells,rho
X_pca,42,doxorubicin,platin,42MGBA_CENTRAL_NERVOUS_SYSTEM,518,0.23148009090697566
X_pca,42,doxorubicin,platin,8305C_THYROID,459,0.16678368581784966
X_pca,42,doxorubicin,platin,A204_SOFT_TISSUE,250,-0.15763337013392215
X_pca,42,doxorubicin,platin,A2058_SKIN,294,0.24360100724503375
X_pca,42,doxorubicin,platin,A375_SKIN,593,0.13374418032934057
X_pca,42,doxorubicin,platin,ACCMESO1_PLEURA,162,0.15961505078602972
X_pca,42,doxorubicin,platin,ASPC1_PANCREAS,290,0.012390077211955858
X_pca,42,doxorubicin,platin,BCPAP_THYROID,152,0.2671320881088581
X_pca,42,doxorubicin,platin,BFTC909_KIDNEY,379,0.18686139270780291
X_pca,42,doxorubicin,platin,BHY_UPPER_AERODIGESTIVE_TRACT,145,0.1334159974807117
X_pca,42,doxorubicin,platin,BICR16_UPPER_AERODIGESTIVE_TRACT,212,-0.13754025539267978
X_pca,42,doxorubicin,platin,BICR31_UPPER_AERODIGESTIVE_TRACT,248,0.1323413019978569
X_pca,42,doxorubicin,platin,BICR56_UPPER_AERODIGESTIVE_TRACT,81,0.1817073170731707
X_pca,42,doxorubicin,platin,BICR6_UPPER_AERODIGESTIVE_TRACT,286,-0.09713547043457182
X_pca,42,doxorubicin,platin,BT474_BREAST,125,-0.007152073732718893
X_pca,42,doxorubicin,platin,BT549_BREAST,266,-0.00945771254508967
X_pca,42,doxorubicin,platin,CAKI2_KIDNEY,278,0.027332879242198415
X_pca,42,doxorubicin,platin,CALU6_LUNG,258,-0.04777673468289701
X_pca,42,doxorubicin,platin,CAMA1_BREAST,291,0.11033216621459078
X_pca,42,doxorubicin,platin,CAS1_CENTRAL_NERVOUS_SYSTEM,133,0.1858785362320319
X_pca,42,doxorubicin,platin,CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,246,0.061921756952015516
X_pca,42,doxorubicin,platin,COLO741_SKIN,329,0.2991282459108095
X_pca,42,doxorubicin,platin,COLO792_SKIN,271,0.2751531485903094
X_pca,42,doxorubicin,platin,COV434_OVARY,88,0.06248459018703111
X_pca,42,doxorubicin,platin,DETROIT562_UPPER_AERODIGESTIVE_TRACT,163,0.12895905032669958
X_pca,42,doxorubicin,platin,DKMG_CENTRAL_NERVOUS_SYSTEM,271,0.01461121964160818
X_pca,42,doxorubicin,platin,EBC1_LUNG,186,0.041039866846318454
X_pca,42,doxorubicin,platin,EFE184_ENDOMETRIUM,86,0.14882777489504223
X_pca,42,doxorubicin,platin,EFM192A_BREAST,333,0.15019586356430742
X_pca,42,doxorubicin,platin,EKVX_LUNG,146,0.16787136205450534
X_pca,42,doxorubicin,platin,FTC133_THYROID,140,-0.07198618005291815
X_pca,42,doxorubicin,platin,GOS3_CENTRAL_NERVOUS_SYSTEM,191,0.24911476990906586
X_pca,42,doxorubicin,platin,HCC1428_BREAST,127,0.040114126359205096
X_pca,42,doxorubicin,platin,HCC366_LUNG,202,-0.03344031925433555
X_pca,42,doxorubicin,platin,HCC38_BREAST,200,0.04102902572564315
X_pca,42,doxorubicin,platin,HCC56_LARGE_INTESTINE,99,0.2929251700680272
X_pca,42,doxorubicin,platin,HDQP1_BREAST,64,0.31346153846153846
X_pca,42,doxorubicin,platin,HEC151_ENDOMETRIUM,250,0.017750684010944172
X_pca,42,doxorubicin,platin,HEC251_ENDOMETRIUM,107,0.21113266325750898
X_pca,42,doxorubicin,platin,HEC6_ENDOMETRIUM,161,0.2102196917414309
X_pca,42,doxorubicin,platin,HEP3B217_LIVER,118,-0.13438439260971666
X_pca,42,doxorubicin,platin,HMC18_BREAST,293,0.24363276565009098
X_pca,42,doxorubicin,platin,HOS_BONE,829,0.18346465001980966
X_pca,42,doxorubicin,platin,HS852T_SKIN,162,-0.03345795210292409
X_pca,42,doxorubicin,platin,HT1080_SOFT_TISSUE,516,0.20673720288253128
X_pca,42,doxorubicin,platin,HT1197_URINARY_TRACT,74,0.10590151795631247
X_pca,42,doxorubicin,platin,HT55_LARGE_INTESTINE,211,-0.2720302499968064
X_pca,42,doxorubicin,platin,HUH28_BILIARY_TRACT,139,-0.08990571517940926
X_pca,42,doxorubicin,platin,HUH6_LIVER,338,0.025926827725827026
X_pca,42,doxorubicin,platin,HUPT3_PANCREAS,136,0.09401746099899813
X_pca,42,doxorubicin,platin,HUPT4_PANCREAS,56,0.19829118250170882
X_pca,42,doxorubicin,platin,IALM_LUNG,322,0.2284100791453261
X_pca,42,doxorubicin,platin,IGR1_SKIN,725,0.4259220725238494
X_pca,42,doxorubicin,platin,IGR37_SKIN,347,0.23255082575152264
X_pca,42,doxorubicin,platin,IM95_STOMACH,185,-0.11582388840453359
X_pca,42,doxorubicin,platin,JHH6_LIVER,206,-0.022486246812658078
X_pca,42,doxorubicin,platin,JHOC5_OVARY,145,0.36885923476617855
X_pca,42,doxorubicin,platin,KALS1_CENTRAL_NERVOUS_SYSTEM,288,-0.13001448786114161
