rep,seed,drug,program,cell_line,n_cells,rho,p,significant
X_pca,42,doxorubicin,SkinPig_score,42MGBA_CENTRAL_NERVOUS_SYSTEM,518,-0.05205710539014662,0.23691244750650728,False
X_pca,42,doxorubicin,SkinPig_score,8305C_THYROID,459,-0.12205838783791109,0.008853043625147898,False
X_pca,42,doxorubicin,SkinPig_score,A204_SOFT_TISSUE,250,-0.1607324747323851,0.010920346751551057,False
X_pca,42,doxorubicin,SkinPig_score,A2058_SKIN,294,0.07876793673782213,0.17800316144317477,False
X_pca,42,doxorubicin,SkinPig_score,A375_SKIN,593,-0.07608768555069093,0.06407874309032704,False
X_pca,42,doxorubicin,SkinPig_score,ACCMESO1_PLEURA,162,-0.0813840008107018,0.3032274263155425,False
X_pca,42,doxorubicin,SkinPig_score,ASPC1_PANCREAS,290,-0.1341253789646992,0.02233980895754115,False
X_pca,42,doxorubicin,SkinPig_score,BCPAP_THYROID,152,0.27412057384819905,0.000632252497983397,True
X_pca,42,doxorubicin,SkinPig_score,BFTC909_KIDNEY,379,0.14926099562795955,0.0035850757187301497,True
X_pca,42,doxorubicin,SkinPig_score,BHY_UPPER_AERODIGESTIVE_TRACT,145,0.18973218908824344,0.022271422420803662,False
X_pca,42,doxorubicin,SkinPig_score,BICR16_UPPER_AERODIGESTIVE_TRACT,212,-0.09394593652400603,0.17294487235809694,False
X_pca,42,doxorubicin,SkinPig_score,BICR31_UPPER_AERODIGESTIVE_TRACT,248,0.10752337095268018,0.0910993398614914,False
X_pca,42,doxorubicin,SkinPig_score,BICR56_UPPER_AERODIGESTIVE_TRACT,81,0.4096434521576989,0.0001461241194199356,True
X_pca,42,doxorubicin,SkinPig_score,BICR6_UPPER_AERODIGESTIVE_TRACT,286,-0.018457173482054105,0.7559537267971785,False
X_pca,42,doxorubicin,SkinPig_score,BT474_BREAST,125,0.003880321426988392,0.9657432814520722,False
X_pca,42,doxorubicin,SkinPig_score,BT549_BREAST,266,-0.13763923380126164,0.02477126508115292,False
X_pca,42,doxorubicin,SkinPig_score,CAKI2_KIDNEY,278,-0.05442048253833163,0.3660206081585459,False
X_pca,42,doxorubicin,SkinPig_score,CALU6_LUNG,258,-0.08395485820480897,0.1788381068673686,False
X_pca,42,doxorubicin,SkinPig_score,CAMA1_BREAST,291,-0.032319534214049914,0.5829364978998519,False
X_pca,42,doxorubicin,SkinPig_score,CAS1_CENTRAL_NERVOUS_SYSTEM,133,-0.0298846646393566,0.732749935941792,False
X_pca,42,doxorubicin,SkinPig_score,CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,246,-0.11918551927379165,0.061972953827414544,False
X_pca,42,doxorubicin,SkinPig_score,COLO741_SKIN,329,-0.37310099544321523,2.635451748491414e-12,True
X_pca,42,doxorubicin,SkinPig_score,COLO792_SKIN,271,-0.2047278087487823,0.0006972694633289984,True
X_pca,42,doxorubicin,SkinPig_score,COV434_OVARY,88,-0.1112016168608947,0.302329201101526,False
X_pca,42,doxorubicin,SkinPig_score,DETROIT562_UPPER_AERODIGESTIVE_TRACT,163,0.15790509182049262,0.044100935778699196,False
X_pca,42,doxorubicin,SkinPig_score,DKMG_CENTRAL_NERVOUS_SYSTEM,271,-0.21814153543716028,0.0002967356891544596,True
X_pca,42,doxorubicin,SkinPig_score,EBC1_LUNG,186,0.20527213899418464,0.0049439999689537325,True
X_pca,42,doxorubicin,SkinPig_score,EFE184_ENDOMETRIUM,86,0.1054910841819149,0.33370931222300393,False
X_pca,42,doxorubicin,SkinPig_score,EFM192A_BREAST,333,0.10330046592928585,0.059699188881798135,False
X_pca,42,doxorubicin,SkinPig_score,EKVX_LUNG,146,-0.22343518636137877,0.006709433193561516,True
X_pca,42,doxorubicin,SkinPig_score,FTC133_THYROID,140,0.11120028167410141,0.1908719984100556,False
X_pca,42,doxorubicin,SkinPig_score,GOS3_CENTRAL_NERVOUS_SYSTEM,191,-0.22169367962504039,0.0020547597133903843,True
X_pca,42,doxorubicin,SkinPig_score,HCC1428_BREAST,127,0.09181745481104348,0.30457590730768236,False
X_pca,42,doxorubicin,SkinPig_score,HCC366_LUNG,202,0.06675183903603805,0.3452271194984385,False
X_pca,42,doxorubicin,SkinPig_score,HCC38_BREAST,200,0.012066446459387814,0.8653389718552809,False
X_pca,42,doxorubicin,SkinPig_score,HCC56_LARGE_INTESTINE,99,-0.06983539951286187,0.49216595496825555,False
X_pca,42,doxorubicin,SkinPig_score,HDQP1_BREAST,64,0.1695303288839193,0.18049606249523417,False
X_pca,42,doxorubicin,SkinPig_score,HEC151_ENDOMETRIUM,250,-0.1661916457868051,0.008466266467556226,False
X_pca,42,doxorubicin,SkinPig_score,HEC251_ENDOMETRIUM,107,0.056815649176311725,0.5610567603942908,False
X_pca,42,doxorubicin,SkinPig_score,HEC6_ENDOMETRIUM,161,0.0007835948311952507,0.9921288106475529,False
X_pca,42,doxorubicin,SkinPig_score,HEP3B217_LIVER,118,-0.1864796757882573,0.043187106897985925,False
X_pca,42,doxorubicin,SkinPig_score,HMC18_BREAST,293,-0.09951056701642286,0.08907676067749555,False
X_pca,42,doxorubicin,SkinPig_score,HOS_BONE,829,0.06617396354880423,0.05684281405197239,False
X_pca,42,doxorubicin,SkinPig_score,HS852T_SKIN,162,-0.13811820578862097,0.07964400767381552,False
X_pca,42,doxorubicin,SkinPig_score,HT1080_SOFT_TISSUE,516,0.011806571632759704,0.7890436754041369,False
X_pca,42,doxorubicin,SkinPig_score,HT1197_URINARY_TRACT,74,0.021400432472767846,0.8563832458094917,False
X_pca,42,doxorubicin,SkinPig_score,HT55_LARGE_INTESTINE,211,-0.05383367399519485,0.43662895817468017,False
X_pca,42,doxorubicin,SkinPig_score,HUH28_BILIARY_TRACT,139,-0.25742399503718355,0.002218491841469082,True
X_pca,42,doxorubicin,SkinPig_score,HUH6_LIVER,338,-0.07884552797679777,0.14805380192714576,False
X_pca,42,doxorubicin,SkinPig_score,HUPT3_PANCREAS,136,-0.12018711253473549,0.1633989044608117,False
X_pca,42,doxorubicin,SkinPig_score,HUPT4_PANCREAS,56,-0.31662593817777346,0.01743070009922901,False
X_pca,42,doxorubicin,SkinPig_score,IALM_LUNG,322,-0.10983892369465102,0.048920234528937886,False
X_pca,42,doxorubicin,SkinPig_score,IGR1_SKIN,725,-0.0140326897514163,0.7060187835165034,False
X_pca,42,doxorubicin,SkinPig_score,IGR37_SKIN,347,-0.009778329666627585,0.8559773400405064,False
X_pca,42,doxorubicin,SkinPig_score,IM95_STOMACH,185,-0.20880635580894874,0.004339953347337743,True
X_pca,42,doxorubicin,SkinPig_score,JHH6_LIVER,206,0.02524153627852117,0.718744606217739,False
X_pca,42,doxorubicin,SkinPig_score,JHOC5_OVARY,145,0.09289316875077443,0.2664369650265508,False
X_pca,42,doxorubicin,SkinPig_score,KALS1_CENTRAL_NERVOUS_SYSTEM,288,-0.08340386241591242,0.15803370054327398,False
X_pca,42,doxorubicin,SkinPig_score,KMRC3_KIDNEY,245,-0.032717116369067926,0.6103167240955281,False
X_pca,42,doxorubicin,SkinPig_score,KNS42_CENTRAL_NERVOUS_SYSTEM,172,-0.2628091592262282,0.0004958152639671933,True
X_pca,42,doxorubicin,SkinPig_score,KPL1_BREAST,276,-0.08661625408192067,0.15124577252105195,False
X_pca,42,doxorubicin,SkinPig_score,KPNSI9S_AUTONOMIC_GANGLIA,129,-0.19388823282924,0.027690093153435243,False
