rep,seed_a,seed_b,drug,cell_line,n_cells,rho,p,significant
X_pca,42,43,doxorubicin,42MGBA_CENTRAL_NERVOUS_SYSTEM,518,0.11657187441223847,0.0039562471076373925,True
X_pca,42,43,doxorubicin,8305C_THYROID,459,0.18461762782449853,3.463664704797991e-05,True
X_pca,42,43,doxorubicin,A204_SOFT_TISSUE,250,0.12328555656890511,0.025768537223518895,True
X_pca,42,43,doxorubicin,A2058_SKIN,294,0.26723702959520135,1.6804224538796563e-06,True
X_pca,42,43,doxorubicin,A375_SKIN,593,0.32748183949701665,1.3656307042876938e-16,True
X_pca,42,43,doxorubicin,ACCMESO1_PLEURA,162,0.3129652916262679,2.5078707754824294e-05,True
X_pca,42,43,doxorubicin,ASPC1_PANCREAS,290,0.07904600120301566,0.08973437867698257,False
X_pca,42,43,doxorubicin,BCPAP_THYROID,152,0.04429363240590764,0.2939620664317594,False
X_pca,42,43,doxorubicin,BFTC909_KIDNEY,379,0.4320493405898211,5.72386753970926e-19,True
X_pca,42,43,doxorubicin,BHY_UPPER_AERODIGESTIVE_TRACT,145,0.21925680995118876,0.004028492978037259,True
X_pca,42,43,doxorubicin,BICR16_UPPER_AERODIGESTIVE_TRACT,212,0.2729709203985426,2.8153215112320087e-05,True
X_pca,42,43,doxorubicin,BICR31_UPPER_AERODIGESTIVE_TRACT,248,0.29972416766451987,7.65336786318781e-07,True
X_pca,42,43,doxorubicin,BICR56_UPPER_AERODIGESTIVE_TRACT,81,0.35815266485998193,0.0005137253305931109,True
X_pca,42,43,doxorubicin,BICR6_UPPER_AERODIGESTIVE_TRACT,286,0.27636266172851537,1.0373844336074437e-06,True
X_pca,42,43,doxorubicin,BT474_BREAST,125,0.045001536098310285,0.3091255832496891,False
X_pca,42,43,doxorubicin,BT549_BREAST,266,0.35900510232545535,8.206721898883446e-10,True
X_pca,42,43,doxorubicin,CAKI2_KIDNEY,278,0.16972368303098292,0.0022718133309644816,True
X_pca,42,43,doxorubicin,CALU6_LUNG,258,0.5048139391637717,2.170697684123756e-18,True
X_pca,42,43,doxorubicin,CAMA1_BREAST,291,0.25750794988044745,4.311413028951264e-06,True
X_pca,42,43,doxorubicin,CAS1_CENTRAL_NERVOUS_SYSTEM,133,0.3061231776864141,0.0001695197525664145,True
X_pca,42,43,doxorubicin,CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,246,0.19887389339067313,0.0008601517949133803,True
X_pca,42,43,doxorubicin,COLO741_SKIN,329,0.3899365813221548,1.0807503180473748e-13,True
X_pca,42,43,doxorubicin,COLO792_SKIN,271,0.24297687094518006,2.648110989364016e-05,True
X_pca,42,43,doxorubicin,COV434_OVARY,88,0.2969426931069706,0.0024816651120462005,True
X_pca,42,43,doxorubicin,DETROIT562_UPPER_AERODIGESTIVE_TRACT,163,0.17894768927239377,0.011140322155256758,True
X_pca,42,43,doxorubicin,DKMG_CENTRAL_NERVOUS_SYSTEM,271,0.21994549357258278,0.00013173142105237813,True
X_pca,42,43,doxorubicin,EBC1_LUNG,186,0.29338474234109907,2.4113488213355883e-05,True
X_pca,42,43,doxorubicin,EFE184_ENDOMETRIUM,86,0.1419972640218878,0.0960863185064964,False
X_pca,42,43,doxorubicin,EFM192A_BREAST,333,0.14032046619882996,0.005178513095872441,True
X_pca,42,43,doxorubicin,EKVX_LUNG,146,0.08436466698157773,0.1556671565059266,False
X_pca,42,43,doxorubicin,FTC133_THYROID,140,0.24617436749688398,0.0016843739970426779,True
X_pca,42,43,doxorubicin,GOS3_CENTRAL_NERVOUS_SYSTEM,191,0.28553664921465965,3.114410566856296e-05,True
X_pca,42,43,doxorubicin,HCC1428_BREAST,127,0.18177024746906636,0.020414419094776027,True
X_pca,42,43,doxorubicin,HCC366_LUNG,202,0.31630536776198015,2.259757106792012e-06,True
X_pca,42,43,doxorubicin,HCC38_BREAST,200,0.3529963249081227,1.473256219188038e-07,True
X_pca,42,43,doxorubicin,HCC56_LARGE_INTESTINE,99,0.309325912183055,0.000918327533089624,True
X_pca,42,43,doxorubicin,HDQP1_BREAST,64,0.35178571428571426,0.0021822204124276844,True
X_pca,42,43,doxorubicin,HEC151_ENDOMETRIUM,250,0.22310872173954782,0.0001890664026325137,True
X_pca,42,43,doxorubicin,HEC251_ENDOMETRIUM,107,0.49715903524755584,2.5577714364355097e-08,True
X_pca,42,43,doxorubicin,HEC6_ENDOMETRIUM,161,0.12295836208879687,0.06010263365383029,False
X_pca,42,43,doxorubicin,HEP3B217_LIVER,118,0.16788097246721376,0.034596254403401916,True
X_pca,42,43,doxorubicin,HMC18_BREAST,293,0.2193703419934527,7.68010366288261e-05,True
X_pca,42,43,doxorubicin,HOS_BONE,829,0.2233978763957071,3.889129834183446e-11,True
X_pca,42,43,doxorubicin,HS852T_SKIN,162,0.3488775137214721,2.683742423941641e-06,True
X_pca,42,43,doxorubicin,HT1080_SOFT_TISSUE,516,0.2798367363338083,4.8685196124219937e-11,True
X_pca,42,43,doxorubicin,HT1197_URINARY_TRACT,74,0.08321362458348759,0.24044626847863224,False
X_pca,42,43,doxorubicin,HT55_LARGE_INTESTINE,211,0.21322670890765322,0.0009203566695552896,True
X_pca,42,43,doxorubicin,HUH28_BILIARY_TRACT,139,0.31588542830332,7.591198560920037e-05,True
X_pca,42,43,doxorubicin,HUH6_LIVER,338,0.25660484836977054,8.746202797114228e-07,True
X_pca,42,43,doxorubicin,HUPT3_PANCREAS,136,0.4403702113448785,4.0499833040834646e-08,True
X_pca,42,43,doxorubicin,HUPT4_PANCREAS,56,0.5152426520847574,2.4183010058060764e-05,True
X_pca,42,43,doxorubicin,IALM_LUNG,322,0.09538504338624605,0.04373794884419977,False
X_pca,42,43,doxorubicin,IGR1_SKIN,725,0.20545012277387842,1.1886959794775974e-08,True
X_pca,42,43,doxorubicin,IGR37_SKIN,347,0.20937228409000178,4.2518560396909204e-05,True
X_pca,42,43,doxorubicin,IM95_STOMACH,185,0.27431295250369586,7.888439894117413e-05,True
X_pca,42,43,doxorubicin,JHH6_LIVER,206,0.3625796620988582,4.2613901607036636e-08,True
X_pca,42,43,doxorubicin,JHOC5_OVARY,145,0.3984254448118406,3.4665339247568266e-07,True
X_pca,42,43,doxorubicin,KALS1_CENTRAL_NERVOUS_SYSTEM,288,0.19559617247185818,0.0004230846713239657,True
X_pca,42,43,doxorubicin,KMRC3_KIDNEY,245,0.21267901002864167,0.0004035621119149026,True
X_pca,42,43,doxorubicin,KNS42_CENTRAL_NERVOUS_SYSTEM,172,0.10897993740905564,0.07735667828941499,False
X_pca,42,43,doxorubicin,KPL1_BREAST,276,0.469954481243133,7.173544346390876e-17,True
X_pca,42,43,doxorubicin,KPNSI9S_AUTONOMIC_GANGLIA,129,0.30646243291592135,0.00020601923425387248,True
X_pca,42,43,doxorubicin,KYSE520_OESOPHAGUS,323,0.24539396231414,4.06796287721077e-06,True
X_pca,42,43,doxorubicin,LI7_LIVER,196,0.23001378606889852,0.0005909927643788725,True
X_pca,42,43,doxorubicin,LMSU_STOMACH,255,0.0981541834606213,0.05897063117220712,False
X_pca,42,43,doxorubicin,LNCAPCLONEFGC_PROSTATE,129,0.21313729874776388,0.00765110782165094,True
X_pca,42,43,doxorubicin,LS1034_LARGE_INTESTINE,146,0.20235219264843396,0.00715454575491098,True
X_pca,42,43,doxorubicin,LS180_LARGE_INTESTINE,361,0.35117894328726723,3.2266276877647287e-12,True
X_pca,42,43,doxorubicin,MCF7_BREAST,143,0.37439262615318947,2.0479343602494534e-06,True
X_pca,42,43,doxorubicin,MDAMB361_BREAST,135,0.24779045946736905,0.0018800089389855354,True
