rep,seed,drug,cell_line,n_cells,r2_confounds,r2_confounds_adj,rho_total_counts,rho_genes_detected,rho_mito_fraction,rho_cell_cycle_G1S,rho_cell_cycle_G2M
X_pca,42,doxorubicin,42MGBA_CENTRAL_NERVOUS_SYSTEM,518,0.04059948647091394,0.031230340830981418,0.05982741925398645,0.07280771476771633,-0.03748183861331076,-0.02456797826607328,0.20075371309998738
X_pca,42,doxorubicin,8305C_THYROID,459,0.10318577082275404,0.09328715902168061,0.09936377816742796,0.12054001348270608,0.09988794454557975,0.1662753253110235,0.26410710008419636
X_pca,42,doxorubicin,A204_SOFT_TISSUE,250,0.2693096183515018,0.25433645479313094,-0.05966265060240964,0.09986173834904653,0.056758028128450044,0.33154539729413063,0.4856704924650427
X_pca,42,doxorubicin,A2058_SKIN,294,0.01600362064670191,-0.0010796498281817613,0.0007605105880618163,-0.02844050506511721,0.01468674703062228,-0.026317147111024012,-0.12293156990391287
X_pca,42,doxorubicin,A375_SKIN,593,0.06559362115502654,0.05763445268104894,0.0015246642913029082,0.07951908122583376,0.04806841948494563,0.14789369134333355,0.23163698998314383
X_pca,42,doxorubicin,ACCMESO1_PLEURA,162,0.15125197281423186,0.12404851040443166,0.3041869366222527,0.3251321351317253,0.05631836920180479,0.07778631626569163,0.10646240261950311
X_pca,42,doxorubicin,ASPC1_PANCREAS,290,0.20470950126078313,0.19070790797312087,-0.02205012344442877,0.010409183679519787,0.1093098404958688,0.19990240538697965,0.22505430184543773
X_pca,42,doxorubicin,BCPAP_THYROID,152,0.062250952644323454,0.03013625924173191,-0.03602744687976271,-0.07167076589044724,0.04571860113860811,0.03418225123436217,-0.0025799947887983807
X_pca,42,doxorubicin,BFTC909_KIDNEY,379,0.016647223854980076,0.003465551252499921,-0.04848996909379307,-0.05125904196605303,0.04842140531628102,-0.0028807838447954797,-0.09491508387249725
X_pca,42,doxorubicin,BHY_UPPER_AERODIGESTIVE_TRACT,145,0.18569392624425074,0.15640234085735327,-0.2186134256549492,-0.18608129838112403,0.3628995433789954,-0.12738976359023665,-0.16670849091305598
