rep,seed,drug,line_a,line_b,n_a,n_b,gap,auroc,p,recovered_gap_frac,significant
X_pca,42,doxorubicin,42MGBA_CENTRAL_NERVOUS_SYSTEM,8305C_THYROID,518,459,0.022391974925994873,0.5689302748126277,9.844766010990147e-05,1.483025739112745,True
X_pca,42,doxorubicin,42MGBA_CENTRAL_NERVOUS_SYSTEM,BCPAP_THYROID,518,152,0.02312535047531128,0.4888869132290185,0.6617530980433521,-0.23398482782530552,False
X_pca,42,doxorubicin,HOS_BONE,42MGBA_CENTRAL_NERVOUS_SYSTEM,829,518,0.020100891590118408,0.4560362533824536,0.9967188755004948,-1.0564379078381885,False
X_pca,42,doxorubicin,42MGBA_CENTRAL_NERVOUS_SYSTEM,HT1197_URINARY_TRACT,518,74,0.017275869846343994,0.29810602107899403,0.9999999906357593,-5.575468890752099,False
X_pca,42,doxorubicin,42MGBA_CENTRAL_NERVOUS_SYSTEM,NCIH2126_LUNG,518,264,0.059337079524993896,0.3033154908154908,1.0,-1.4663317094885522,False
X_pca,42,doxorubicin,NCIH2170_LUNG,42MGBA_CENTRAL_NERVOUS_SYSTEM,142,518,0.03108161687850952,0.6281880472021317,1.4061642830198639e-06,2.0084745915625133,True
X_pca,42,doxorubicin,RVH421_SKIN,42MGBA_CENTRAL_NERVOUS_SYSTEM,239,518,0.03691744804382324,0.73628051243114,6.578308584087269e-26,3.611615099459767,True
X_pca,42,doxorubicin,42MGBA_CENTRAL_NERVOUS_SYSTEM,SKMEL5_SKIN,518,297,0.022271931171417236,0.11612911612911613,1.0,-11.866652326407962,False
X_pca,42,doxorubicin,42MGBA_CENTRAL_NERVOUS_SYSTEM,SNU423_LIVER,518,212,0.0004897117614746094,0.3174491877322066,0.9999999999999954,-179.38520722504998,False
X_pca,42,doxorubicin,SW1088_CENTRAL_NERVOUS_SYSTEM,42MGBA_CENTRAL_NERVOUS_SYSTEM,128,518,0.028093457221984863,0.6080176158301158,7.603203704903918e-05,1.9778039422946596,True
X_pca,42,doxorubicin,TE10_OESOPHAGUS,42MGBA_CENTRAL_NERVOUS_SYSTEM,219,518,0.04955095052719116,0.7956400627633504,3.0661912880300985e-37,3.202933695817448,True
X_pca,42,doxorubicin,42MGBA_CENTRAL_NERVOUS_SYSTEM,VMCUB1_URINARY_TRACT,518,478,0.026964247226715088,0.35870583673930956,0.9999999999999939,-2.5991929630646107,False
X_pca,42,doxorubicin,8305C_THYROID,BCPAP_THYROID,459,152,0.0007333755493164062,0.4041251003325307,0.9998046894454166,-52.659045355657895,False
X_pca,42,doxorubicin,HOS_BONE,8305C_THYROID,829,459,0.04249286651611328,0.5230045911944727,0.08548286903755437,0.28175391046237597,False
X_pca,42,doxorubicin,HT1197_URINARY_TRACT,8305C_THYROID,74,459,0.005116105079650879,0.8012129776835659,4.3477449715632995e-17,25.317883045246166,True
X_pca,42,doxorubicin,8305C_THYROID,NCIH2126_LUNG,459,264,0.03694510459899902,0.19129200501749521,1.0,-3.2539010980095355,False
X_pca,42,doxorubicin,NCIH2170_LUNG,8305C_THYROID,142,459,0.053473591804504395,0.7177421829451656,2.110222888874125e-15,1.7884437851045698,True
X_pca,42,doxorubicin,RVH421_SKIN,8305C_THYROID,239,459,0.059309422969818115,0.8122259596539685,3.9941322649893744e-42,2.8079768713676594,True
X_pca,42,doxorubicin,SKMEL5_SKIN,8305C_THYROID,297,459,0.00012004375457763672,0.9278404964679474,2.5512576989108964e-88,2478.2725270502015,True
X_pca,42,doxorubicin,SNU423_LIVER,8305C_THYROID,212,459,0.021902263164520264,0.7815184774119291,4.2215117893888634e-32,5.527050792339257,True
X_pca,42,doxorubicin,SW1088_CENTRAL_NERVOUS_SYSTEM,8305C_THYROID,128,459,0.050485432147979736,0.6929466230936819,1.1878522409819583e-11,1.7583532879533443,True
X_pca,42,doxorubicin,8305C_THYROID,VMCUB1_URINARY_TRACT,459,478,0.004572272300720215,0.26749984047547426,1.0,-22.591208488295717,False
X_pca,42,doxorubicin,8305C_THYROID,YD38_UPPER_AERODIGESTIVE_TRACT,459,624,0.04474550485610962,0.22581489860901627,1.0,-2.6732424087066775,False
X_pca,42,doxorubicin,A204_SOFT_TISSUE,COV434_OVARY,250,88,0.04979771375656128,0.321,0.9999997071296959,-1.7951630728682284,False
X_pca,42,doxorubicin,HEC151_ENDOMETRIUM,A204_SOFT_TISSUE,250,250,0.03436240553855896,0.8028,5.316037392412946e-32,4.063290691936158,True
X_pca,42,doxorubicin,HUH6_LIVER,A204_SOFT_TISSUE,338,250,0.049915462732315063,0.8933727810650888,3.472511223855317e-60,4.313495221745596,True
X_pca,42,doxorubicin,BICR6_UPPER_AERODIGESTIVE_TRACT,A2058_SKIN,286,294,0.011674702167510986,0.6431782503211074,1.2121257652625528e-09,4.222376343367008,True
X_pca,42,doxorubicin,DKMG_CENTRAL_NERVOUS_SYSTEM,A2058_SKIN,271,294,0.03284496068954468,0.30618520470919,0.9999999999999992,-2.2550151018544495,False
X_pca,42,doxorubicin,HCC38_BREAST,A2058_SKIN,200,294,0.014991939067840576,0.707108843537415,2.65983854494785e-15,5.826607242826362,True
X_pca,42,doxorubicin,A2058_SKIN,HUPT4_PANCREAS,294,56,0.03535988926887512,0.22625121477162294,0.9999999999585902,-2.9331501316586963,False
X_pca,42,doxorubicin,IGR1_SKIN,A2058_SKIN,725,294,0.036873042583465576,0.6647009148486981,8.08621614301756e-17,1.4980516671755817,True
X_pca,42,doxorubicin,JHOC5_OVARY,A2058_SKIN,145,294,0.035236477851867676,0.5876612714051138,0.001401173539241853,0.9199085222924379,True
X_pca,42,doxorubicin,A2058_SKIN,RT4_URINARY_TRACT,294,106,0.011410266160964966,0.4205814401232191,0.9923626311842381,-2.22211789588211,False
X_pca,42,doxorubicin,A375_SKIN,BHY_UPPER_AERODIGESTIVE_TRACT,593,145,0.021897941827774048,0.6645694016398209,3.8955173770309026e-10,2.4269167908488924,True
X_pca,42,doxorubicin,BICR31_UPPER_AERODIGESTIVE_TRACT,A375_SKIN,248,593,0.03809034824371338,0.37070935103084374,0.9999999983828836,-1.036765601244,False
X_pca,42,doxorubicin,A375_SKIN,EBC1_LUNG,593,186,0.017746329307556152,0.629494641788609,4.8001409754467515e-08,2.466080629294957,True
X_pca,42,doxorubicin,FTC133_THYROID,A375_SKIN,140,593,0.036758482456207275,0.6581185256564683,2.8546573421993445e-09,1.4975151847798072,True
X_pca,42,doxorubicin,NCIH1435_LUNG,A375_SKIN,267,593,0.018173575401306152,0.3681654255957456,0.9999999997051362,-2.2729732558115603,False
X_pca,42,doxorubicin,A375_SKIN,NCIH2228_LUNG,593,367,0.0564383864402771,0.23105623739265085,1.0,-1.5211916254089097,False
X_pca,42,doxorubicin,NCIH2444_LUNG,A375_SKIN,237,593,0.04376572370529175,0.30935456557161256,1.0,-1.3649992752223317,False
X_pca,42,doxorubicin,NCIH2452_PLEURA,A375_SKIN,538,593,0.05423647165298462,0.5772300131020518,3.5410137583420978e-06,0.43798400824713263,True
X_pca,42,doxorubicin,A375_SKIN,NCIH446_LUNG,593,196,0.019731253385543823,0.8386189214302922,3.0788551282840266e-46,6.722136295052891,True
X_pca,42,doxorubicin,NCIH460_LUNG,A375_SKIN,837,593,0.05266833305358887,0.2077029703369256,1.0,-2.0100118660072654,False
X_pca,42,doxorubicin,TCCSUP_URINARY_TRACT,A375_SKIN,316,593,0.043339669704437256,0.5328622964117232,0.051188137188824166,0.2556149879409159,False
X_pca,42,doxorubicin,COLO792_SKIN,ACCMESO1_PLEURA,271,162,0.006367743015289307,0.0951209512095121,1.0,-36.27329783182678,False
X_pca,42,doxorubicin,ACCMESO1_PLEURA,DETROIT562_UPPER_AERODIGESTIVE_TRACT,162,163,0.033033132553100586,0.9164583806710596,7.609283184906428e-39,6.940004350935328,True
X_pca,42,doxorubicin,ACCMESO1_PLEURA,GOS3_CENTRAL_NERVOUS_SYSTEM,162,191,0.05782538652420044,0.7407407407407407,3.1896666828610563e-15,2.014729910745484,True
X_pca,42,doxorubicin,KYSE520_OESOPHAGUS,ACCMESO1_PLEURA,323,162,0.05928206443786621,0.12762297901616787,1.0,-2.870605573640582,False
X_pca,42,doxorubicin,LMSU_STOMACH,ACCMESO1_PLEURA,255,162,0.05163496732711792,0.05487775357056403,1.0,-5.1038889383027986,False
X_pca,42,doxorubicin,MFE319_ENDOMETRIUM,ACCMESO1_PLEURA,191,162,0.020982563495635986,0.08845582056751342,1.0,-10.617043609557832,False
X_pca,42,doxorubicin,NCIH1299_LUNG,ACCMESO1_PLEURA,534,162,0.018123388290405273,0.1263004577611319,1.0,-10.428469625526652,False
X_pca,42,doxorubicin,ACCMESO1_PLEURA,NCIH1944_LUNG,162,414,0.008280038833618164,0.8780640543925569,1.4415340521410754e-45,24.689638392247662,True
X_pca,42,doxorubicin,ACCMESO1_PLEURA,ONCODG1_OVARY,162,270,0.05386930704116821,0.5996113397347965,0.00026243930064719036,0.6503462615334049,True
X_pca,42,doxorubicin,TM31_CENTRAL_NERVOUS_SYSTEM,ACCMESO1_PLEURA,116,162,0.03622019290924072,0.07684120902511707,1.0,-6.07788142600653,False
X_pca,42,doxorubicin,BT474_BREAST,ASPC1_PANCREAS,125,290,0.0071707963943481445,0.3395034482758621,0.9999998950796973,-7.905122027336048,False
X_pca,42,doxorubicin,ASPC1_PANCREAS,KNS42_CENTRAL_NERVOUS_SYSTEM,290,172,0.05360269546508789,0.8353247794707298,8.977790753328272e-34,3.0740480026954606,True
X_pca,42,doxorubicin,ASPC1_PANCREAS,LS1034_LARGE_INTESTINE,290,146,0.010579586029052734,0.782262635805385,3.162621486681186e-22,10.694481595055846,True
X_pca,42,doxorubicin,ASPC1_PANCREAS,NCIH1792_LUNG,290,111,0.0251309871673584,0.9521590556073315,6.249123397958784e-45,12.934920555195374,True
X_pca,42,doxorubicin,ASPC1_PANCREAS,SNU46_UPPER_AERODIGESTIVE_TRACT,290,236,0.032526373863220215,0.8573056691992986,1.7703701188174103e-45,6.002534468543076,True
X_pca,42,doxorubicin,HOS_BONE,BCPAP_THYROID,829,152,0.04322624206542969,0.4360516792584598,0.993955169120295,-0.6164386199979887,False
X_pca,42,doxorubicin,HT1197_URINARY_TRACT,BCPAP_THYROID,74,152,0.005849480628967285,0.7304409672830725,9.652145383492346e-09,15.541566765673284,True
X_pca,42,doxorubicin,BCPAP_THYROID,NCIH2126_LUNG,152,264,0.03621172904968262,0.2656000797448166,0.9999999999999992,-2.2533268155913166,False
X_pca,42,doxorubicin,NCIH2170_LUNG,BCPAP_THYROID,142,152,0.0542069673538208,0.640659747961453,1.541849409896548e-05,1.0518141744334755,True
X_pca,42,doxorubicin,RVH421_SKIN,BCPAP_THYROID,239,152,0.06004279851913452,0.7560284078396828,6.855020201860708e-18,2.130490829778062,True
X_pca,42,doxorubicin,SKMEL5_SKIN,BCPAP_THYROID,297,152,0.000853419303894043,0.9042397660818714,5.459070680954009e-45,303.3471138024229,True
X_pca,42,doxorubicin,SNU423_LIVER,BCPAP_THYROID,212,152,0.02263563871383667,0.7106814796425025,3.5183588676040983e-12,3.641870490401057,True
X_pca,42,doxorubicin,SW1088_CENTRAL_NERVOUS_SYSTEM,BCPAP_THYROID,128,152,0.05121880769729614,0.6146689967105263,0.0004756374825455302,0.9791787734178365,True
X_pca,42,doxorubicin,BCPAP_THYROID,VMCUB1_URINARY_TRACT,152,478,0.0038388967514038086,0.3426833296630698,0.9999999975120176,-16.847106000701018,False
X_pca,42,doxorubicin,BCPAP_THYROID,YD38_UPPER_AERODIGESTIVE_TRACT,152,624,0.04401212930679321,0.29743378879892035,0.9999999999999956,-1.8403273402556766,False
X_pca,42,doxorubicin,BICR16_UPPER_AERODIGESTIVE_TRACT,BFTC909_KIDNEY,212,379,0.0405314564704895,0.3477248966993578,0.9999999996016791,-1.4204687008920056,False
