drug,approval_year,therapeutic_class,target_gene,delivery_type,drug_class,pubchem_cids,master_cpd_id,matched_by,drug_ctrp,compound_status,target,moa_or_pathway,top_test_conc_umol,drug_key,n_auc_cc,n_ln_ic50_cc,coverage
Methotrexate,1953,Leukemia; Breast cancer; Head and neck cancer; Lung cancer; Lymphoma; Bone cancer; Gestational trophoblastic disease,DHFR,Both,Cytotoxic,126941,30371,name_dreval+name_ctrp+pubchem_cid,methotrexate,FDA,DHFR,inhibitor of dihydrofolate reductase,66.0,methotrexate,173,111,0.9558011049723757
Chlorambucil,1957,Leukemia; Lymphoma,DNA synthesis,Single,Cytotoxic,2708,25334,name_dreval+name_ctrp+pubchem_cid,chlorambucil,FDA,,DNA alkylator,270.0,chlorambucil,174,140,0.9613259668508287
Cyclophosphamide,1959,Lymphoma; Multiple myeloma; Leukemia; Brain cancer; Ovarian cancer; Retinoblastoma; Breast cancer,DNA synthesis,Both,Cytotoxic,2907,32620,name_dreval+name_ctrp+pubchem_cid,cyclophosphamide,FDA,,DNA alkylator,130.0,cyclophosphamide,97,5,0.5359116022099447
Vincristine sulfate,1963,Leukemia,TUBA4A; TUBB,Single,Cytotoxic,249332,62602,pubchem_parent,vincristine,FDA,,inhibitor of mictrotubule assembly,130.0,vincristine,179,104,0.988950276243094
Procarbazine hydrochloride,1969,Lymphoma,DNA synthesis,Combination,Cytotoxic,9703,28183,pubchem_parent,procarbazine,FDA,,inducer of DNA damage,66.0,procarbazine,174,4,0.9613259668508287
Fluorouracil,1970,Breast cancer; Colorectal cancer; Stomach cancer; Pancreatic cancer,DNA synthesis,Single,Cytotoxic,3385,25344,name_ctrp+pubchem_cid,5-fluorouracil,FDA,TYMS,pyrimidine analog; inhibitor of thymidylate synthase,130.0,5-fluorouracil,176,52,0.9723756906077348
Doxorubicin hydrochloride,1974,Leukemia; Breast cancer; Stomach cancer; Lymphoma; Ovarian cancer; Lung cancer; Sarcoma; Thyroid cancer; Bladder cancer; Kidney cancer; Brain cancer,TOP2A; DNA synthesis,Single,Cytotoxic,443939,36599,pubchem_parent,doxorubicin,FDA,TOP2A,inhibitor of topoisomerase II,66.0,doxorubicin,177,172,0.9779005524861878
Dacarbazine,1975,Melanoma; Lymphoma,DNA synthesis,Both,Cytotoxic,135398738,32622,name_dreval+name_ctrp+pubchem_cid,dacarbazine,FDA,,DNA alkylator,66.0,dacarbazine,175,39,0.9668508287292817
Cisplatin,1978,Testicular cancer; Ovarian cancer; Bladder cancer,DNA synthesis,Both,Cytotoxic,5702198,375395,pubchem_cid,platin,FDA,,DNA alkylator; organoplatinum reagent,66.0,platin,175,14,0.9668508287292817
Etoposide,1983,Testicular cancer; Lung cancer,TOP2A; TOP2B,Combination,Cytotoxic,36462,48589,name_dreval+name_ctrp+pubchem_cid,etoposide,FDA,TOP2A,inhibitor of topoisomerase II,28.0,etoposide,173,124,0.9558011049723757
Ifosfamide,1988,Testicular cancer,DNA synthesis,Combination,Cytotoxic,3690,35319,name_dreval+name_ctrp+pubchem_cid,ifosfamide,FDA,,DNA alkylator,66.0,ifosfamide,95,3,0.5248618784530387
Carboplatin,1989,Ovarian cancer,DNA synthesis,Both,Cytotoxic,426756,26979,name_dreval+name_ctrp+pubchem_cid,carboplatin,FDA,,inducer of DNA damage,66.0,carboplatin,177,22,0.9779005524861878
Paclitaxel,1992,Breast cancer; Lung cancer; Pancreatic cancer; Ovarian cancer; Sarcoma,TUBA4A; TUBB1,Both,Cytotoxic,36314,26956,name_dreval+name_ctrp+pubchem_cid,paclitaxel,FDA,,inhibitor of microtubule assembly,66.0,paclitaxel,173,80,0.9558011049723757
