drug,approval_year,therapeutic_class,target_gene,delivery_type,drug_class,pubchem_cids,master_cpd_id,matched_by,drug_ctrp,compound_status,target,moa_or_pathway,top_test_conc_umol,drug_key,n_auc_cc,n_ln_ic50_cc,coverage,reference,claim,setting,strength
Doxorubicin hydrochloride,1974,Leukemia; Breast cancer; Stomach cancer; Lymphoma; Ovarian cancer; Lung cancer; Sarcoma; Thyroid cancer; Bladder cancer; Kidney cancer; Brain cancer,TOP2A; DNA synthesis,Single,Cytotoxic,443939,36599,pubchem_parent,doxorubicin,FDA,TOP2A,inhibitor of topoisomerase II,66.0,doxorubicin,177,172,0.9779005524861878,"Skinner, Palkar & Hong, Cancers 15:4236 (2023)",canonical P-glycoprotein substrate; ABCB1 overexpression prevents intracellular accumulation and mediates resistance,"expression determinant, external -- review, not a primary measurement",medium
Cisplatin,1978,Testicular cancer; Ovarian cancer; Bladder cancer,DNA synthesis,Both,Cytotoxic,5702198,375395,pubchem_cid,platin,FDA,,DNA alkylator; organoplatinum reagent,66.0,platin,175,14,0.9668508287292817,"Chen et al., Nat Commun 13:6494 (2022); Kinker et al., Nat Genet 52:1208-1218 (2020). Determinant: Britten et al., Int J Cancer 89:453-457 (2000); Shimizu et al., Respirology 13:510-517 (2008); Friboulet et al., N Engl J Med 368:1101-1110 (2013)","Named in two of this project's own papers -- one of the five drugs the scDEAL benchmark is built on, and a perturbation in Kinker Fig. 6, tested for association with expression heterogeneity alongside etoposide. Its response DETERMINANT, however, is CONTESTED and unresolved at the level this project measures. Britten (155 citations): ERCC1 mRNA correlates with cisplatin resistance in cervical carcinoma lines (p <= 0.011) while ERCC1 protein does not. Shimizu (28 citations): no correlation between ERCC1 mRNA and cisplatin or carboplatin sensitivity across 20 lung cancer lines -- more recent, far less cited, and a different lineage and assay, so it does not supersede Britten. Friboulet, on 494 patients across two phase 3 trials, explains why the field never converged: ERCC1 has four splice isoforms, only ERCC1-202 repairs DNA, and available antibodies cannot distinguish them. Gene-level expression -- ours included -- cannot represent that distinction at all","expression determinant, external, contested and isoform-confounded",contested
Etoposide,1983,Testicular cancer; Lung cancer,TOP2A; TOP2B,Combination,Cytotoxic,36462,48589,name_dreval+name_ctrp+pubchem_cid,etoposide,FDA,TOP2A,inhibitor of topoisomerase II,28.0,etoposide,173,124,0.9558011049723757,"Omori et al., Thorac Cancer 13:2142-2151 (2022)",ABCB1 overexpressed in etoposide-resistant SCLC lines and silencing it restores sensitivity; topoisomerase expression itself did NOT correlate with sensitivity,"expression determinant, 12 external cell lines, causal by silencing",strong
Paclitaxel,1992,Breast cancer; Lung cancer; Pancreatic cancer; Ovarian cancer; Sarcoma,TUBA4A; TUBB1,Both,Cytotoxic,36314,26956,name_dreval+name_ctrp+pubchem_cid,paclitaxel,FDA,,inhibitor of microtubule assembly,66.0,paclitaxel,173,80,0.9558011049723757,"Seashore-Ludlow et al., Cancer Discov 5:1210-1223 (2015)","member of the mitosis/microtubule compound cluster, confirmed in a tubulin-polymerization assay","mechanistic worked example, this screen",medium
Gemcitabine,1996,Ovarian cancer; Pancreatic cancer; Lung cancer; Breast cancer,DNA synthesis; RRM1; TYMS,Both,Cytotoxic,60750,411863,name_dreval+name_ctrp+pubchem_cid,gemcitabine,FDA,CMPK1;RRM1;TYMS,"inhibitor of DNA replication; inhibitor of ribonucleotide reductase, thymidylate synthetase, and cytidine monophosphate (UMP-CMP) kinase ",33.0,gemcitabine,178,96,0.9834254143646409,"Rees et al., Nat Chem Biol 12:109-116 (2016)","basal expression correlates with sensitivity across CTRPv2 lines (r = -0.39, p = 3.6e-23), on the SLFN11 axis it shares with topoisomerase-I inhibitors","expression-sensitivity, this screen",strong
Imatinib mesylate,2001,Leukemia; Stomach cancer,BCR-ABL,Single,Targeted,123596,345041,pubchem_parent,imatinib,FDA,ABL1;BCR;KIT,inhibitor of BCR-ABL1 and c-KIT,66.0,imatinib,176,100,0.9723756906077348,"Rees et al., Nat Chem Biol 12:109-116 (2016)",high ABL1 and PDGFRA expression correlate with imatinib sensitivity; ABL1 uniquely associated in haematologic lines,"expression-sensitivity, this screen",strong
Erlotinib hydrochloride,2004,Pancreatic cancer; Lung cancer,EGFR,Both,Targeted,176871,52928,pubchem_parent,erlotinib,FDA,EGFR;ERBB2,inhibitor of EGFR and HER2,66.0,erlotinib,176,81,0.9723756906077348,"Chen et al., Nat Commun 13:6494 (2022)","one of the five drugs the scDEAL single-cell response benchmark is built on -- relevance to the task, NOT a determinant claim","benchmark drug, no determinant claimed",medium
Sorafenib tosylate,2005,Liver cancer; Kidney cancer; Thyroid cancer,BRAF; FGFR1; FLT1; FLT3; FLT4; KDR; KIT; PDGFRB; RAF1; RET,Single,Targeted,406563,349006,pubchem_parent,sorafenib,FDA,BRAF;FLT3;KDR;RAF1,"inhibitor of BRAF, CRAF, and VEGFR2",66.0,sorafenib,173,118,0.9558011049723757,"Kinker et al., Nat Genet 52:1208-1218 (2020)","hit in the EpiSen-high differential-killing screen, annotated SLC7A11","expression-linked, our own atlas",strong
Dasatinib,2006,Leukemia,BCR-ABL,Single,Targeted,3062316,52882,name_dreval+name_ctrp+pubchem_cid,dasatinib,FDA,EPHA2;KIT;LCK;SRC;YES1,"inhibitor of SRC, YES1, EPHA2, c-KIT, and LCK",66.0,dasatinib,178,172,0.9834254143646409,"Seashore-Ludlow et al., Cancer Discov 5:1210-1223 (2015)","exemplary compound of the SRC target cluster, chosen for the combination panel","mechanistic worked example, this screen",medium
Crizotinib,2011,Lung cancer,ALK; MET,Single,Targeted,11626560,628603,name_dreval+name_ctrp+pubchem_cid,crizotinib,FDA,ALK;MET,inhibitor of c-MET and ALK,66.0,crizotinib,174,174,0.9613259668508287,"Seashore-Ludlow et al., Cancer Discov 5:1210-1223 (2015)",ALK-inhibitor worked example in neuroblastoma; IC50 shifts under ALK/IGF1R co-treatment,"mechanistic worked example, this screen",medium
