n_lines_kept,rep,seed,n_fit_lines,order
31,X_pca,42,21,-0.05375326842234517
31,X_scGPT,42,21,-0.08515937621888679
31,X_pca,43,20,0.05020766219320167
31,X_scGPT,43,20,-0.03825191771521026
31,X_pca,44,21,-0.14949384597604842
31,X_scGPT,44,21,-0.03508327354267288
62,X_pca,42,41,0.12875097856623371
62,X_scGPT,42,41,0.08328960069931807
62,X_pca,43,42,-0.011353674969539634
62,X_scGPT,43,42,-0.011884489225164748
62,X_pca,44,41,0.1278860165236442
62,X_scGPT,44,41,0.06793503711464793
94,X_pca,42,63,0.22889324650231746
94,X_scGPT,42,63,0.17809458226927585
94,X_pca,43,63,0.21822369857299284
94,X_scGPT,43,63,0.2146361617307098
94,X_pca,44,63,0.22067356063629173
94,X_scGPT,44,63,0.1912724267569146
153,X_pca,42,103,0.25897949314568
153,X_scGPT,42,103,0.22792499018169152
153,X_pca,43,103,0.2752922469860554
153,X_scGPT,43,103,0.23171071437432503
153,X_pca,44,103,0.25441187024704165
153,X_scGPT,44,103,0.22810912515235798
