drug,cell_line,y_true,y_pred,fold,rep,model,alpha,loss,seed,budget
doxorubicin,42MGBA_CENTRAL_NERVOUS_SYSTEM,0.5611410140991211,0.5617906369527794,4,X_pca,mlp,0.0,mse,42,25
doxorubicin,8305C_THYROID,0.5387490391731262,0.6308621203198153,4,X_pca,mlp,0.0,mse,42,25
doxorubicin,A204_SOFT_TISSUE,0.3751550614833832,0.6268441562652588,4,X_pca,mlp,0.0,mse,42,25
doxorubicin,A2058_SKIN,0.4950177073478699,0.6584435675014444,5,X_pca,mlp,0.0,mse,42,25
doxorubicin,A375_SKIN,0.5054274201393127,0.5630100078968736,3,X_pca,mlp,0.0,mse,42,25
doxorubicin,ACCMESO1_PLEURA,0.6358495950698853,0.690773864955078,2,X_pca,mlp,0.0,mse,42,25
doxorubicin,ASPC1_PANCREAS,0.7291187644004822,0.6176580616112413,4,X_pca,mlp,0.0,mse,42,25
doxorubicin,BCPAP_THYROID,0.5380156636238098,0.6400907733722737,4,X_pca,mlp,0.0,mse,42,25
doxorubicin,BFTC909_KIDNEY,0.585321843624115,0.6487138288631288,5,X_pca,mlp,0.0,mse,42,25
doxorubicin,BHY_UPPER_AERODIGESTIVE_TRACT,0.4835294783115387,0.5461608282450972,3,X_pca,mlp,0.0,mse,42,25
doxorubicin,BICR16_UPPER_AERODIGESTIVE_TRACT,0.6258533000946045,0.6128217406430334,5,X_pca,mlp,0.0,mse,42,25
doxorubicin,BICR31_UPPER_AERODIGESTIVE_TRACT,0.5435177683830261,0.5533609423906573,3,X_pca,mlp,0.0,mse,42,25
doxorubicin,BICR56_UPPER_AERODIGESTIVE_TRACT,0.6303225755691528,0.5120060090665464,3,X_pca,mlp,0.0,mse,42,25
doxorubicin,BICR6_UPPER_AERODIGESTIVE_TRACT,0.5066924095153809,0.6399659945831432,5,X_pca,mlp,0.0,mse,42,25
doxorubicin,BT474_BREAST,0.7362895607948303,0.6791359448432922,4,X_pca,mlp,0.0,mse,42,25
doxorubicin,BT549_BREAST,0.5603541731834412,0.5832739214699968,1,X_pca,mlp,0.0,mse,42,25
doxorubicin,CAKI2_KIDNEY,0.8098970055580139,0.6512284482554566,4,X_pca,mlp,0.0,mse,42,25
doxorubicin,CALU6_LUNG,0.6933369636535645,0.5531557673631713,3,X_pca,mlp,0.0,mse,42,25
doxorubicin,CAMA1_BREAST,0.6567535400390625,0.607485216507797,3,X_pca,mlp,0.0,mse,42,25
doxorubicin,CAS1_CENTRAL_NERVOUS_SYSTEM,0.4726645350456238,0.5630639970750737,1,X_pca,mlp,0.0,mse,42,25
doxorubicin,CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,0.624411404132843,0.5641161488081382,5,X_pca,mlp,0.0,mse,42,25
doxorubicin,COLO741_SKIN,0.8535335659980774,0.5686204958831648,3,X_pca,mlp,0.0,mse,42,25
doxorubicin,COLO792_SKIN,0.6422173380851746,0.6178638651362205,2,X_pca,mlp,0.0,mse,42,25
doxorubicin,COV434_OVARY,0.3253573477268219,0.6090201660990715,4,X_pca,mlp,0.0,mse,42,25
doxorubicin,DETROIT562_UPPER_AERODIGESTIVE_TRACT,0.6028164625167847,0.5355163684651896,2,X_pca,mlp,0.0,mse,42,25
doxorubicin,DKMG_CENTRAL_NERVOUS_SYSTEM,0.5278626680374146,0.5692932552957007,5,X_pca,mlp,0.0,mse,42,25
doxorubicin,EBC1_LUNG,0.4876810908317566,0.5507666311597311,3,X_pca,mlp,0.0,mse,42,25
