rep,alpha,loss,seed,drug,cell_line,n_cells,within_line_sd,line_mean_pred
X_pca,0.0,mse,42,doxorubicin,NCIH2126_LUNG,264,0.02647655932778203,0.4888946888121692
X_pca,0.0,mse,42,doxorubicin,SW579_THYROID,217,0.024423004634433965,0.5718138684874855
X_pca,0.0,mse,42,doxorubicin,NCIH446_LUNG,196,0.03041491198869427,0.5081733554905775
X_pca,0.0,mse,42,doxorubicin,HEC251_ENDOMETRIUM,107,0.03134844847555583,0.6030324324269161
X_pca,0.0,mse,42,doxorubicin,MFE319_ENDOMETRIUM,191,0.027923887477579512,0.5423312936153711
X_pca,0.0,mse,42,doxorubicin,SKNAS_AUTONOMIC_GANGLIA,226,0.032088073656922136,0.5173383141513419
X_pca,0.0,mse,42,doxorubicin,NCIH2452_PLEURA,538,0.027758209918756587,0.5930623282508779
X_pca,0.0,mse,42,doxorubicin,COLO741_SKIN,329,0.022413034915266805,0.5754516199004687
X_pca,0.0,mse,42,doxorubicin,KNS42_CENTRAL_NERVOUS_SYSTEM,172,0.02241813683404432,0.5751946461062099
X_pca,0.0,mse,42,doxorubicin,MCF7_BREAST,143,0.032571059468258334,0.7516332118661253
X_pca,0.0,mse,42,doxorubicin,HT1197_URINARY_TRACT,74,0.02024213493543346,0.5817575051977828
X_pca,0.0,mse,42,doxorubicin,SNU899_UPPER_AERODIGESTIVE_TRACT,83,0.021001063771386788,0.5103705945503281
X_pca,0.0,mse,42,doxorubicin,HCC38_BREAST,200,0.029412018448059022,0.5821885746717453
X_pca,0.0,mse,42,doxorubicin,SNU308_BILIARY_TRACT,94,0.027187537548635905,0.5526111633219617
X_pca,0.0,mse,42,doxorubicin,SW1271_LUNG,115,0.030691672827471553,0.5800671955813532
X_pca,0.0,mse,42,doxorubicin,TM31_CENTRAL_NERVOUS_SYSTEM,116,0.025779631382043085,0.5762441096634701
X_pca,0.0,mse,42,doxorubicin,NCIH747_LARGE_INTESTINE,80,0.02502548501900451,0.6467859581112861
X_pca,0.0,mse,42,doxorubicin,KPNSI9S_AUTONOMIC_GANGLIA,129,0.026985038902701965,0.5344000218450561
X_pca,0.0,mse,42,doxorubicin,SQ1_LUNG,238,0.03150500201784167,0.5842463489340133
X_pca,0.0,mse,42,doxorubicin,IALM_LUNG,322,0.023380379469894564,0.5816571812451996
X_pca,0.0,mse,42,doxorubicin,BT474_BREAST,125,0.01666308333971356,0.6317192058563232
X_pca,0.0,mse,42,doxorubicin,DKMG_CENTRAL_NERVOUS_SYSTEM,271,0.02718934728731556,0.536300527653571
X_pca,0.0,mse,42,doxorubicin,BT549_BREAST,266,0.03351448509768248,0.582382185118539
X_pca,0.0,mse,42,doxorubicin,BICR6_UPPER_AERODIGESTIVE_TRACT,286,0.030596347696482472,0.5783205403314604
X_pca,0.0,mse,42,doxorubicin,SH10TC_STOMACH,351,0.0313676407200633,0.6746396746730533
X_pca,0.0,mse,42,doxorubicin,UMUC1_URINARY_TRACT,197,0.029482061625809186,0.5439492889164668
X_pca,0.0,mse,42,doxorubicin,LS1034_LARGE_INTESTINE,146,0.016130397490426645,0.5923297082724637
X_pca,0.0,mse,42,doxorubicin,CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,246,0.02578203742570476,0.537206760266932
X_pca,0.0,mse,42,doxorubicin,NCIH226_LUNG,235,0.030881776228334084,0.6048464244984566
X_pca,0.0,mse,42,doxorubicin,LNCAPCLONEFGC_PROSTATE,129,0.027931766077819317,0.5795104106267294
X_pca,0.0,mse,42,doxorubicin,RCC10RGB_KIDNEY,233,0.02831575261048716,0.6451652241878755
X_pca,0.0,mse,42,doxorubicin,RERFLCAD1_LUNG,243,0.0368563472891375,0.6287383898295493
X_pca,0.0,mse,42,doxorubicin,SKMEL2_SKIN,276,0.03485926852764579,0.5404019829803619
X_pca,0.0,mse,42,doxorubicin,BICR31_UPPER_AERODIGESTIVE_TRACT,248,0.02873416182354181,0.5671625851142791
X_pca,0.0,mse,42,doxorubicin,RCM1_LARGE_INTESTINE,128,0.021481096065425104,0.612967518158257
X_pca,0.0,mse,42,doxorubicin,COV434_OVARY,88,0.02031967977695125,0.5564711320806633
X_pca,0.0,mse,42,doxorubicin,SNU1079_BILIARY_TRACT,73,0.044673787664434354,0.61655397774422
