drug,n_lines,spearman,pearson,true_std
snx-2112,27,0.32844932844932845,0.3131626530620168,0.16413929932533317
decitabine,26,0.08854700854700855,0.006915933193309482,0.0667385031568982
brd-k63431240,27,0.009157509157509158,0.028225668627204693,0.09052339217026818
pha-793887,27,-0.08913308913308912,-0.17018395687824497,0.12209700914126125
pd318088,27,0.03785103785103785,0.001168527943801942,0.16171149026605391
pazopanib,26,-0.03316239316239316,0.05731381327815485,0.11752177254897121
ceranib-2,27,0.07875457875457875,0.019495855182680585,0.10009218418415661
vincristine,27,-0.001221001221001221,-0.09596782575107413,0.21933537021809096
osi-027,26,0.08307692307692308,0.11998945834968835,0.09081253700412091
nsc632839,26,0.22529914529914527,0.1558339457015474,0.08909631828539566
curcumin,27,0.2967032967032967,0.3379421592162509,0.06614061047055082
sb-225002,27,0.2222222222222222,0.06159412473239878,0.1016085165669609
ml311,27,0.09340659340659341,0.09472537732104615,0.07512009145651558
c6-ceramide,27,-0.21855921855921853,-0.27129695823223415,0.06301183676064705
b02,27,-0.1398046398046398,-0.18362515723366296,0.10681835920341884
cytochalasin b,27,0.19291819291819293,0.26041952035784316,0.06041728861474511
sirolimus,27,-0.09829059829059829,-0.21325970858684076,0.11743544408454355
pyrazolanthrone,27,0.2277167277167277,0.210019835412405,0.06267791909343813
bi-2536,27,-0.0006105006105006105,-0.05085150995492259,0.17225432509838387
brd-k41597374,26,-0.31897435897435894,-0.25111544908618977,0.05052189377519605
triptolide,27,-0.13003663003663005,-0.38050158038132664,0.09075998078560599
neratinib,27,-0.01282051282051282,-0.13712058216313647,0.11019528324154869
triazolothiadiazine,27,-0.13125763125763126,-0.21439049660751341,0.16051250564469388
mgcd-265,27,-0.045787545787545784,0.13783154264099673,0.061595110784282765
apicidin,27,-0.03724053724053724,-0.11327706089588342,0.09471699863965745
veliparib,27,0.0036630036630036626,0.166704070267932,0.055115193060298925
gdc-0941,27,0.199023199023199,0.11932576204903768,0.13273598350701532
dasatinib,27,-0.09462759462759461,-0.17244145670805125,0.16201940565998124
lenvatinib,27,0.19963369963369965,0.305053840204169,0.10445000799585526
l-685458,27,0.115995115995116,0.09058518065145976,0.05863304392971128
yk 4-279,27,0.2039072039072039,0.1651979726546021,0.07473077143201153
ic-87114,26,0.09059829059829058,0.1207005383579639,0.05782127971454042
linifanib,27,0.36385836385836384,0.33063962084213716,0.07660745553595613
sirolimus:bortezomib (250:1 mol/mol),26,-0.13094017094017094,-0.19024542078680373,0.10519470092866107
leptomycin b,27,0.10561660561660562,-0.08975500025066425,0.16221633877996858
brd-k07442505,27,-0.03174603174603174,-0.408618947498591,0.05843769892186332
linsitinib,27,0.246031746031746,0.08888151760781168,0.07853821252314912
clofarabine,27,0.2673992673992674,0.22982257478153634,0.14441350756440385
ml162,27,-0.040903540903540904,0.0746091204378791,0.1529401499323335
