score,heads,rep,drug,seed,n_lines,spearman,pearson,spearman_own
mean_pv,K=5,X_pca,"1s,3r-rsl-3",42,149,0.5907950215810716,0.5880600487710274,0.58211862869581
mean_pv,K=5,X_pca,kx2-391,42,149,0.11617631053872665,0.0820617271784851,0.13516415744603663
mean_pv,K=5,X_pca,cay10618,42,149,0.39996408485785073,0.32785311309310367,0.41226192635588615
mean_pv,K=5,X_pca,ml162,42,152,0.599852548073733,0.5958072658305935,0.5870016880924555
mean_pv,K=5,X_pca,dasatinib,42,151,0.5411885674451028,0.5319425882063459,0.5399860578598814
mean_pv,K=5,X_scGPT,"1s,3r-rsl-3",42,149,0.5942087739969558,0.6124937588385758,0.5807291855614003
mean_pv,K=5,X_scGPT,kx2-391,42,149,0.29932523127154,0.27075535814704366,0.32376201705060764
mean_pv,K=5,X_scGPT,cay10618,42,149,0.314016247067286,0.30570442255673436,0.29700707418828226
mean_pv,K=5,X_scGPT,ml162,42,152,0.6148318185198788,0.616765771554965,0.6039748768102571
mean_pv,K=5,X_scGPT,dasatinib,42,151,0.5839735099337747,0.5921913480876309,0.5761171139769954
mean_pv,K=545,X_pca,"1s,3r-rsl-3",42,149,0.002969347877153296,0.017411127414111608,-0.0036350444404135685
mean_pv,K=545,X_pca,kx2-391,42,149,0.1476836568111736,0.13947274685589606,0.13813168873571557
mean_pv,K=545,X_pca,cay10618,42,149,-0.024610941965312102,-0.02450628548059812,-0.029860330128786507
mean_pv,K=545,X_pca,ml162,42,152,0.01746186197782707,0.020322430188335218,0.00195463336955556
mean_pv,K=545,X_pca,dasatinib,42,151,-0.0061972812826768895,0.03066926397535173,-0.005137678633670268
mean_pv,K=545,X_scGPT,"1s,3r-rsl-3",42,149,-0.004944680704410436,-0.0007518909904225893,1.4511155450752767e-05
mean_pv,K=545,X_scGPT,kx2-391,42,149,-0.11117721748594231,-0.07819230992007528,-0.12872120442590243
mean_pv,K=545,X_scGPT,cay10618,42,149,-0.09335941715895112,-0.09496236500053243,-0.08887357155813531
mean_pv,K=545,X_scGPT,ml162,42,152,-0.09427013432139246,-0.03324685937386204,-0.09853470841107444
mean_pv,K=545,X_scGPT,dasatinib,42,151,-0.0478354827466016,-0.05843036878917637,-0.05562216800278842
auc,K=5,X_pca,"1s,3r-rsl-3",42,149,0.5968951540861824,0.5858559814663633,0.5968951540861824
auc,K=5,X_pca,kx2-391,42,149,0.11081443859967349,0.11835038207443498,0.11081443859967349
auc,K=5,X_pca,cay10618,42,149,0.3324490589961997,0.31614302395222144,0.3324490589961997
auc,K=5,X_pca,ml162,42,152,0.5946618301981323,0.5985839645613336,0.5946618301981323
auc,K=5,X_pca,dasatinib,42,151,0.5622411990240501,0.5676304377541708,0.5622411990240501
auc,K=5,X_scGPT,"1s,3r-rsl-3",42,149,0.6024638150408926,0.610876559604412,0.6024638150408926
auc,K=5,X_scGPT,kx2-391,42,149,0.33074188282241973,0.30690313678814346,0.33074188282241973
auc,K=5,X_scGPT,cay10618,42,149,0.30453682617174344,0.2892188200262136,0.30453682617174344
auc,K=5,X_scGPT,ml162,42,152,0.6229237342074511,0.6169670410013963,0.6229237342074511
auc,K=5,X_scGPT,dasatinib,42,151,0.5487835482746601,0.5621319543816339,0.5487835482746601
auc,K=545,X_pca,"1s,3r-rsl-3",42,149,-0.04100493470429285,-0.05736982114662151,-0.04100493470429285
auc,K=545,X_pca,kx2-391,42,149,0.11937239252675495,0.10284572944664948,0.11937239252675495
auc,K=545,X_pca,cay10618,42,149,0.03613643763509344,0.00468400200183134,0.03613643763509344
auc,K=545,X_pca,ml162,42,152,-0.024482487307268506,-0.04193371226974234,-0.024482487307268506
auc,K=545,X_pca,dasatinib,42,151,-0.010310212617636807,0.02470111787404819,-0.010310212617636807
auc,K=545,X_scGPT,"1s,3r-rsl-3",42,149,-0.13626168715921363,-0.12784255658806576,-0.13626168715921363
auc,K=545,X_scGPT,kx2-391,42,149,-0.11974242699074915,-0.07525741803120124,-0.11974242699074915
auc,K=545,X_scGPT,cay10618,42,149,0.00011608934889298161,-0.038843078924614735,0.00011608934889298161
auc,K=545,X_scGPT,ml162,42,152,-0.10818324020059461,-0.09026121032051115,-0.10818324020059461
auc,K=545,X_scGPT,dasatinib,42,151,-0.07119205298013245,-0.11012363343821238,-0.07119205298013245
auc_z,K=5,X_pca,"1s,3r-rsl-3",42,149,0.5723694652364636,0.5671246495160003,0.5723694652364636
auc_z,K=5,X_pca,kx2-391,42,149,0.1015998548884455,0.07685889104500476,0.1015998548884455
auc_z,K=5,X_pca,cay10618,42,149,0.3468640911157704,0.29713529765572866,0.3468640911157704
auc_z,K=5,X_pca,ml162,42,152,0.5712198785018714,0.5748567883863591,0.5712198785018714
auc_z,K=5,X_pca,dasatinib,42,151,0.5287173231090972,0.5215335641866468,0.5287173231090972
auc_z,K=5,X_scGPT,"1s,3r-rsl-3",42,149,0.5907097684654783,0.6021394144095014,0.5907097684654783
auc_z,K=5,X_scGPT,kx2-391,42,149,0.2831380373662253,0.2676181198758704,0.2831380373662253
auc_z,K=5,X_scGPT,cay10618,42,149,0.34717608124092025,0.3315678532096903,0.34717608124092025
auc_z,K=5,X_scGPT,ml162,42,152,0.6546028323415892,0.6352691695314711,0.6546028323415892
auc_z,K=5,X_scGPT,dasatinib,42,151,0.5629731613802718,0.5739871889401074,0.5629731613802718
auc_z,K=545,X_pca,"1s,3r-rsl-3",42,149,0.45990246680815833,0.45740884007389415,0.45990246680815833
auc_z,K=545,X_pca,kx2-391,42,149,0.15295120623979686,0.11611096240773962,0.15295120623979686
auc_z,K=545,X_pca,cay10618,42,149,0.28657018553447805,0.27546523492222486,0.28657018553447805
auc_z,K=545,X_pca,ml162,42,152,0.5208025963842862,0.5060347942932916,0.5208025963842862
auc_z,K=545,X_pca,dasatinib,42,151,0.4701429069362147,0.48493189200935727,0.4701429069362147
auc_z,K=545,X_scGPT,"1s,3r-rsl-3",42,149,0.5218705984680165,0.5147552714249142,0.5218705984680165
auc_z,K=545,X_scGPT,kx2-391,42,149,0.2611137311808453,0.2571477293419384,0.2611137311808453
auc_z,K=545,X_scGPT,cay10618,42,149,0.374360941738719,0.33188959360145787,0.374360941738719
auc_z,K=545,X_scGPT,ml162,42,152,0.5216295573624924,0.5047511525523478,0.5216295573624924
auc_z,K=545,X_scGPT,dasatinib,42,151,0.4731404670616939,0.5167382944097716,0.4731404670616939
