heads,rep,score,mean,ci_lo,ci_hi,drug_min,drug_max
K=5,X_pca,auc,0.43941233618084763,0.37460560290604794,0.4906800481549024,0.11081443859967349,0.5968951540861824
K=5,X_pca,auc_z,0.4241541225703296,0.3630958503766935,0.4782451995019918,0.1015998548884455,0.5723694652364636
K=5,X_pca,mean_pv,0.4495953064992969,0.3861053987929042,0.5035936399952572,0.11617631053872665,0.599852548073733
K=5,X_scGPT,auc,0.48188996130343337,0.41818510163651207,0.5333711904132348,0.30453682617174344,0.6229237342074511
K=5,X_scGPT,auc_z,0.48771997615889695,0.42764554331980653,0.5356719263409697,0.2831380373662253,0.6546028323415892
K=5,X_scGPT,mean_pv,0.48127111615788704,0.4173190194642483,0.5318453577350103,0.29932523127154,0.6148318185198788
K=545,X_pca,auc,0.015942239106530046,-0.05749713450070581,0.09138959715083227,-0.04100493470429285,0.11937239252675495
K=545,X_pca,auc_z,0.3780738723805868,0.3120098605738601,0.43661894020258224,0.15295120623979686,0.5208025963842862
K=545,X_pca,mean_pv,0.027461328683632998,-0.04449340482573667,0.09704348021045558,-0.024610941965312102,0.1476836568111736
K=545,X_scGPT,auc,-0.08705266359635937,-0.15443860501889886,-0.016679923210642843,-0.13626168715921363,0.00011608934889298161
K=545,X_scGPT,auc_z,0.43042305916235346,0.3678249832395028,0.4826031409650118,0.2611137311808453,0.5218705984680165
K=545,X_scGPT,mean_pv,-0.07031738648345959,-0.14289745299451437,0.0011947182919112653,-0.11117721748594231,-0.004944680704410436
