cid,parent_cids
2123,2123
2126,2126
2187,2187
2375,2375
2478,2478
2578,2578
2708,2708
2746,2746
2749,2749
2756,2756
2907,2907
3385,3385
3397,3397
3503,3503
3657,3657
3690,3690
3902,3902
3950,3950
4033,4033
4211,4211
4261,4261
4477,4477
4493,4493
4578,4578
4705,4705
4788,4788
4915,4915
4917,4917
5291,5291
5311,5311
5394,5394
5426,5426
5453,5453
5566,5566
5743,5743
5746,5746
5790,5790
5978,5978
6010,6010
6252,6253
6253,6253
6446,6446
8515,8515
9444,9444
9703,4915
14888,
20279,20279
23939,
26596,26596
29327,29327
31703,31703
36314,36314
36462,36462
41867,41867
42890,42890
44259,44259
53232,53232
54454,54454
55283,55283
55508,55508
57469,57469
60198,60198
60699,60700
60700,60700
60750,60750
60838,60838
60953,60953
62770,30323
64971,64971
65064,65064
65628,65628
72376,72376
72967,72967
77082,65628
81146,81146
82146,82146
100016,100016
104741,104741
104842,104842
107970,107970
107985,107985
119182,119182
119607,119607
122327,122327
123596,5291
123631,123631
126941,126941
132496,132496
132971,132971
134780,134780
135411,135411
148121,148121
148124,148124
148198,148198
151289,151289
156414,156414
156422,156422
159324,159324
176870,176870
176871,176870
208908,208908
216239,216239
216326,216326
216345,216345
216468,216468
219104,219104
227681,227681
241158,241158
246676,246676
249332,5978
252682,252682
259331,259331
262093,262093
285033,285033
322968,322968
327653,327653
374536,374536
375860,375860
387447,387447
400769,400769
406563,216239
409805,409805
421610,421610
426756,2568
439501,439501
439693,439693
441298,441298
443939,31703
444795,444795
445091,445091
445455,445455
445643,445643
446155,446155
448949,448949
449171,449171
451668,451668
452548,452548
454216,454216
457193,457193
460612,460612
462382,462382
568763,568763
613000,613000
613753,613753
637858,637858
638278,638278
644241,644241
650361,650361
654092,654092
656346,656346
657180,657181
657237,657237
667490,667490
675434,675434
676352,676352
702558,702558
753704,753704
969516,969516
984333,984333
1239801,1239801
1242560,1242560
1285940,1285940
1317464,1317464
1323703,1323703
1474550,1474550
1566236,1566236
1641662,1641662
1714884,1714884
1716436,1716436
1750826,1750826
2113511,2113511
2130404,2130404
2723601,2723601
2729026,2729027
2733487,2733487
2733525,
2733526,2733526
2742550,2742550
2828334,2828334
2841722,2841722
2842253,2842253
2858523,2858523
2871966,2871966
2874250,2874250
2945648,2945648
2946601,2946601
2949965,2949965
3005573,3005573
3011155,3011155
3025944,3025944
3025986,3025986
3038522,3038522
3062316,3062316
3081361,3081361
3099980,3099980
3101542,3101542
3136844,3136844
3384730,3384730
3465537,3465537
3476986,3476986
3543504,3543504
3552672,3552672
3634881,3634881
3676137,3676137
3689413,3689413
3815108,3815108
3825829,3825829
3854666,3854666
