Cell_line,split
2313287_STOMACH,test
42MGBA_CENTRAL_NERVOUS_SYSTEM,train
8305C_THYROID,train
A204_SOFT_TISSUE,train
A2058_SKIN,val
A375_SKIN,train
ACCMESO1_PLEURA,train
ASPC1_PANCREAS,train
BCPAP_THYROID,train
BFTC909_KIDNEY,train
BHY_UPPER_AERODIGESTIVE_TRACT,train
BICR16_UPPER_AERODIGESTIVE_TRACT,train
BICR31_UPPER_AERODIGESTIVE_TRACT,train
BICR56_UPPER_AERODIGESTIVE_TRACT,train
BICR6_UPPER_AERODIGESTIVE_TRACT,val
BT474_BREAST,train
BT549_BREAST,train
C32_SKIN,test
CAKI2_KIDNEY,train
CALU6_LUNG,train
CAMA1_BREAST,train
CAOV3_OVARY,test
CAS1_CENTRAL_NERVOUS_SYSTEM,train
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,train
CCK81_LARGE_INTESTINE,test
CL34_LARGE_INTESTINE,test
COLO680N_OESOPHAGUS,test
COLO741_SKIN,train
COLO792_SKIN,val
COV434_OVARY,train
DANG_PANCREAS,test
DAOY_CENTRAL_NERVOUS_SYSTEM,test
DETROIT562_UPPER_AERODIGESTIVE_TRACT,train
DKMG_CENTRAL_NERVOUS_SYSTEM,train
EBC1_LUNG,train
EFE184_ENDOMETRIUM,train
EFM192A_BREAST,train
EKVX_LUNG,train
FTC133_THYROID,train
GOS3_CENTRAL_NERVOUS_SYSTEM,train
HCC1419_BREAST,test
HCC1428_BREAST,train
HCC366_LUNG,val
HCC38_BREAST,train
HCC56_LARGE_INTESTINE,train
HDQP1_BREAST,train
HEC108_ENDOMETRIUM,test
HEC151_ENDOMETRIUM,train
HEC251_ENDOMETRIUM,train
HEC59_ENDOMETRIUM,test
HEC6_ENDOMETRIUM,train
HEP3B217_LIVER,val
HMC18_BREAST,train
HOS_BONE,train
HS729_SOFT_TISSUE,test
HS852T_SKIN,train
HT1080_SOFT_TISSUE,train
HT1197_URINARY_TRACT,val
HT1376_URINARY_TRACT,test
HT55_LARGE_INTESTINE,val
HUCCT1_BILIARY_TRACT,test
HUH28_BILIARY_TRACT,val
HUH6_LIVER,val
HUPT3_PANCREAS,train
HUPT4_PANCREAS,train
IALM_LUNG,train
IGR1_SKIN,train
IGR37_SKIN,train
IM95_STOMACH,train
JHH6_LIVER,val
JHOC5_OVARY,train
JHOS2_OVARY,test
KALS1_CENTRAL_NERVOUS_SYSTEM,train
KMRC3_KIDNEY,train
KNS42_CENTRAL_NERVOUS_SYSTEM,train
KPL1_BREAST,val
KPNSI9S_AUTONOMIC_GANGLIA,train
KYSE520_OESOPHAGUS,train
LI7_LIVER,train
LMSU_STOMACH,train
LNCAPCLONEFGC_PROSTATE,train
LS1034_LARGE_INTESTINE,train
LS180_LARGE_INTESTINE,train
MCF7_BREAST,train
MDAMB361_BREAST,train
MFE319_ENDOMETRIUM,train
MKN45_STOMACH,train
MKN7_STOMACH,train
MSTO211H_PLEURA,train
NCIH1299_LUNG,val
NCIH1373_LUNG,train
NCIH1435_LUNG,val
NCIH1568_LUNG,test
NCIH1792_LUNG,train
NCIH1944_LUNG,val
NCIH2087_LUNG,train
NCIH2110_LUNG,train
NCIH2126_LUNG,train
NCIH2170_LUNG,train
NCIH2228_LUNG,train
NCIH226_LUNG,train
NCIH2444_LUNG,train
NCIH2452_PLEURA,train
NCIH292_LUNG,train
NCIH358_LUNG,train
NCIH446_LUNG,train
NCIH460_LUNG,train
NCIH522_LUNG,train
NCIH650_LUNG,train
NCIH727_LUNG,test
NCIH747_LARGE_INTESTINE,train
OAW28_OVARY,train
ONCODG1_OVARY,val
OSRC2_KIDNEY,train
OUMS23_LARGE_INTESTINE,val
OVCAR4_OVARY,train
OVK18_OVARY,train
OVSAHO_OVARY,train
OVTOKO_OVARY,train
PANC0203_PANCREAS,train
PANC1_PANCREAS,test
PATU8988S_PANCREAS,train
PC3_PROSTATE,train
PECAPJ49_UPPER_AERODIGESTIVE_TRACT,train
PK45H_PANCREAS,train
PK59_PANCREAS,train
RCC10RGB_KIDNEY,train
RCM1_LARGE_INTESTINE,val
RD_SOFT_TISSUE,train
RERFLCAD1_LUNG,train
RERFLCAI_LUNG,train
RT4_URINARY_TRACT,train
RVH421_SKIN,train
SBC5_LUNG,test
SCC25_UPPER_AERODIGESTIVE_TRACT,train
SCC9_UPPER_AERODIGESTIVE_TRACT,train
SH10TC_STOMACH,val
SJSA1_BONE,test
SKES1_BONE,train
SKMEL2_SKIN,train
SKMEL30_SKIN,val
SKMEL3_SKIN,test
SKMEL5_SKIN,val
SKMES1_LUNG,test
SKNAS_AUTONOMIC_GANGLIA,train
SNU1077_ENDOMETRIUM,test
SNU1079_BILIARY_TRACT,train
SNU1196_BILIARY_TRACT,test
SNU1214_UPPER_AERODIGESTIVE_TRACT,train
SNU308_BILIARY_TRACT,train
SNU423_LIVER,train
SNU449_LIVER,train
SNU46_UPPER_AERODIGESTIVE_TRACT,train
SNU738_CENTRAL_NERVOUS_SYSTEM,train
SNU899_UPPER_AERODIGESTIVE_TRACT,train
SNUC4_LARGE_INTESTINE,train
SQ1_LUNG,train
SU8686_PANCREAS,train
SW1088_CENTRAL_NERVOUS_SYSTEM,train
SW1271_LUNG,val
SW1990_PANCREAS,train
SW579_THYROID,train
T47D_BREAST,val
TCCSUP_URINARY_TRACT,train
TE10_OESOPHAGUS,val
TE14_OESOPHAGUS,train
TE1_OESOPHAGUS,train
TE6_OESOPHAGUS,train
TE9_OESOPHAGUS,train
TM31_CENTRAL_NERVOUS_SYSTEM,train
TOV112D_OVARY,val
TOV21G_OVARY,test
TYKNU_OVARY,test
U118MG_CENTRAL_NERVOUS_SYSTEM,test
UACC257_SKIN,val
UMUC1_URINARY_TRACT,val
VMCUB1_URINARY_TRACT,train
VMRCRCZ_KIDNEY,train
WM88_SKIN,test
YD38_UPPER_AERODIGESTIVE_TRACT,val
ZR751_BREAST,train
